Rollno,CGPA,Max Credits
AE15B001,6.20,63
AE15B002,6.56,63
AE15B003,6.35,63
AE15B004,9.47,63
AE15B005,5.70,63
AE15B006,9.09,81
AE15B007,4.18,63
AE15B008,8.32,63
AE15B009,9.61,63
AE15B010,8.35,63
AE15B011,6.55,63
AE15B012,7.91,63
AE15B013,4.90,63
AE15B014,8.41,63
AE15B015,4.94,63
AE15B016,7.42,63
AE15B017,3.57,63
AE15B018,5.94,63
AE15B019,7.75,63
AE15B020,7.46,63
AE15B021,7.43,63
AE15B022,8.87,63
AE15B023,8.79,63
AE15B024,9.91,63
AE15B025,3.88,63
AE15B026,8.09,63
AE15B027,10.00,63
AE15B028,5.59,63
AE15B029,7.83,63
AE15B030,8.62,63
AE15B031,8.77,81
AE15B032,7.35,63
AE15B033,8.01,63
AE15B034,3.44,63
AE15B035,8.91,81
AE15B036,8.94,63
AE15B037,8.30,63
AE15B038,7.19,63
AE15B039,7.46,63
AE15B040,8.96,63
AE15B041,9.63,63
AE15B042,5.91,63
AE15B043,8.83,63
AE15B044,7.69,63
AE15B045,9.05,63
AE15B046,6.32,63
AE15B047,9.06,63
AE15B048,8.63,63
AE15B049,1.78,63
AE15B050,7.09,63
AE15B051,8.44,63
AE15B052,2.40,63
AE15B053,7.50,63
AE15B054,7.91,63
AE15B055,6.39,63
AE15B056,8.51,63
AE15B057,9.00,63
AE15B058,8.03,63
AE15B059,8.03,63
AE16B001,8.26,63
AE16B002,2.99,63
AE16B003,7.28,63
AE16B004,8.13,63
AE16B005,9.13,63
AE16B006,6.38,63
AE16B007,5.29,63
AE16B008,7.50,63
AE16B009,6.19,63
AE16B010,8.23,63
AE16B011,8.54,63
AE16B012,4.19,63
AE16B013,7.87,63
AE16B014,4.03,63
AE16B015,7.55,63
AE16B016,8.38,63
AE16B017,8.15,63
AE16B018,8.54,63
AE16B019,9.34,63
AE16B020,8.31,63
AE16B021,8.42,63
AE16B022,5.14,63
AE16B023,3.81,63
AE16B024,6.09,63
AE16B025,8.13,63
AE16B026,7.62,63
AE16B027,9.41,63
AE16B028,4.58,63
AE16B029,8.62,63
AE16B030,8.86,63
AE16B031,8.36,63
AE16B032,7.76,63
AE16B033,9.41,63
AE16B034,8.36,63
AE16B035,7.43,63
AE16B036,4.47,63
AE16B037,7.23,63
AE16B038,7.61,63
AE16B039,9.62,63
AE16B040,8.29,63
AE16B041,7.67,63
AE16B042,4.60,63
AE16B043,6.31,63
AE16B044,8.62,63
AE16B045,5.61,63
AE16B046,8.96,63
AE16B102,8.55,63
AE16B103,8.40,63
AE16B104,3.58,63
AE16B105,5.92,63
AE16B106,7.70,63
AE16B107,7.13,63
AE16B108,7.86,63
