Batch,Elective Type,Total Strength,Number of students who didn't give a preference for this elective type,Total Allotted
AE15,HS,59,15,38
CH15,HS,96,28,54
CE15,HS,103,24,57
CS15,HS,61,8,48
EE15,HS,133,26,74
ME15,HS,166,42,89
EP15,HS,31,6,16
BE15,HS,30,16,8
BS15,HS,28,11,12
ED15,HS,54,11,26
AE16,MA,60,2,55
MM16,HS,48,14,33
EP16,HS,30,2,15
AE17,HS,58,7,49
CH17,HS,98,9,86
CH17,MA,98,9,88
CE17,MA,98,11,87
CS17,HS,63,1,61
EE17,HS,132,5,113
MM17,HS,49,6,39
NA17,HS,54,8,41
NA17,MA,54,7,47
EP17,HS,30,3,25
EP17,MA,30,4,26
BE17,HS,37,5,22
BE17,MA,37,7,30
BS17,HS,35,4,31
PH17,HS,9,1,4
PH17,MA,9,0,9
