Student Roll Number, Course ID 
AE15B005,AS5211
AE15B007,AS5213
AE15B012,AS5212
AE15B013,AS5213
AE15B039,CS1200
AE15B039,AS5212
BE15B004,EE5154
BE15B004,CH5440
BE15B004,CH5019
BE15B008,BT2022
BE15B009,BT3040
BE15B012,BT2022
BE15B012,GN6001
BE15B013,MA2040
BE15B014,BT2022
BE15B015,BT2022
BE15B015,BT5330
BE15B018,BT2022
BE15B021,BT2022
BE15B023,BT2022
BE15B023,CH5019
BE15B026,BT2022
BE15B029,BT3040
BE15B032,BT5440
BE16B003,HS3280A
BE16B005,MA2030
BE16B005,HS4030
BE16B005,BT2082
BE16B009,HS4002
BE16B010,HS4210
BE16B026,HS2370
BE16B033,HS2370
BS15B001,BT5330
BS15B001,CE4010
BS15B004,MS3590
BS15B006,CH5019
BS15B007,MA2030
BS15B008,BT5330
BS15B013,BT4230
BS15B018,HS2370
BS15B023,BT5330
BS15B025,BT5330
BS15B032,BT4230
CE15B001,CE4011
CE15B002,CE4011
CE15B003,MM3100
CE15B006,CE5670
CE15B006,HS3029
CE15B007,HS4030
CE15B008,HS3280A
CE15B008,CE5380
CE15B008,CE4011
CE15B009,MS3590
CE15B010,HS2370
CE15B012,CE3330
CE15B012,CE3241
CE15B013,CE5670
CE15B015,HS3280
CE15B015,CE6870
CE15B015,CE5100
CE15B019,CE4011
CE15B022,CH5440
CE15B024,OE5011
CE15B027,CE5100
CE15B028,CE3420
CE15B030,CE3420
CE15B034,HS3280A
CE15B034,CE4011
CE15B034,CE5380
CE15B034,CE5180
CE15B035,CE5390
CE15B041,CE5390
CE15B044,CE4310
CE15B044,CE4640
CE15B049,CE5390
CE15B055,CE5730
CE15B062,HS2370
CE15B063,CE4011
CE15B065,CE5390
CE15B068,CE4011
CE15B069,CE5380
CE15B069,CE4310
CE15B070,MS3590
CE15B073,CE4011
CE15B074,CE4011
CE15B075,MS3540
CE15B076,CE4901
CE15B077,CE4011
CE15B077,CE5800
CE15B078,CE4011
CE15B078,CE3330
CE15B087,CE4011
CE15B087,CE3420
CE15B091,ID3100
CE15B092,CE5730
CE15B092,HS4002
CE15B094,CE5730
CE15B094,CE5100
CE15B094,HS4002
CE15B094,CE4011
CE15B095,CE4310
CE15B096,ID3100
CE15B103,HS5920
CE15B104,CE5100
CE15B104,CE5670
CE15B105,CE5100
CE15B105,MS3540
CE15B105,CE3420
CE16B007,HS2370
CE16B008,MA2030
CE16B010,HS2370A
CE16B013,HS5920
CE16B025,HS4571
CE16B030,HS4571
CE16B033,HS2370A
CE16B036,MA2030
CE16B039,MA2020
CE16B040,HS2370A
CE16B041,HS2370A
CE16B043,HS2370A
CE16B048,HS2370A
CE16B050,HS2370A
CE16B054,MA2030
CE16B054,HS3280
CE16B107,MA2030
CE16B107,HS2370A
CE16B111,HS4002
CE16B114,HS4210
CE16B115,HS2370
CE16B120,MA2040
CE16B124,MA2020
CE16B125,HS2370
CE16B126,HS2370
CE16B128,HS2370A
CE16B129,HS2370
CE16B133,HS2370
CH15B001,CH5023
CH15B007,HS4450
CH15B008,HS4450
CH15B014,CH5200
CH15B016,CH4170
CH15B018,BT4230
CH15B024,BT2082
CH15B028,CH5015
CH15B029,CH5019
CH15B033,CH5019
CH15B034,BT5330
CH15B035,CH5015
CH15B036,BT2082
CH15B038,CH5019
CH15B039,ME5134
CH15B043,CH5015
CH15B049,BT2022
CH15B059,ME5134
CH15B060,HS4450
CH15B061,CH5470
CH15B063,CH5200
CH15B063,HS4030
CH15B065,CH5470
CH15B065,HS4030
CH15B070,HS4030
CH15B071,BT2022
CH15B075,CH5015
CH15B075,BT2082
CH15B076,CH5015
CH15B076,BT2082
CH15B077,CH5015
CH15B077,BT2082
CH15B079,CH5015
CH15B083,CH4170
CH15B084,CH5015
CH15B084,BT2082
CH15B086,BT2022
