Student ID, Course Alloted
AE15B001,HS4006
AE15B002,HS3002C
AE15B003,HS3002
AE15B005,HS3002A
AE15B006,HS3002
AE15B007,HS3002
AE15B008,HS5930
AE15B009,HS3002C
AE15B010,HS2050
AE15B011,HS5930
AE15B012,HS5070
AE15B013,HS3002
AE15B014,HS2050
AE15B015,HS5920
AE15B016,HS3002C
AE15B017,HS3002B
AE15B018,HS3280
AE15B019,HS5930
AE15B020,HS3002
AE15B021,HS3002C
AE15B022,HS3002B
AE15B023,HS5070
AE15B025,HS1090+
AE15B026,HS1090+
AE15B029,HS4002
AE15B030,HS3002A
AE15B031,HS3002A
AE15B032,HS3002C
AE15B033,HS3002C
AE15B034,HS5930
AE15B035,HS3002A
AE15B036,HS3002A
AE15B038,HS3002C
AE15B039,HS5070
AE15B040,HS3002C
AE15B042,HS2050
AE15B043,HS3002A
AE15B044,HS1090+
AE15B045,HS3002C
AE15B046,HS2050
AE15B049,HS4002
AE15B050,HS3002D
AE15B051,HS2050
AE15B053,HS3002C
AE15B055,HS5920
AE15B056,HS3002A
AE15B058,HS5930
AE15B059,HS1090+
BE15B004,HS3002A
BE15B005,HS3002A
BE15B006,HS3002A
BE15B007,HS1090+
BE15B008,HS3002B
BE15B009,HS1090+
BE15B011,HS3002
BE15B012,HS3002B
BE15B013,HS3002A
BE15B014,HS3002
BE15B015,HS3002
BE15B017,HS5070
BE15B018,HS3002
BE15B019,HS3002D
BE15B021,HS1090+
BE15B022,HS3002B
BE15B023,HS3002B
BE15B025,HS5930
BE15B026,HS3002D
BE15B027,HS3002D
BE15B028,HS1090+
BE15B029,HS5930
BE15B030,HS1090+
BE15B031,HS5920
BS15B001,HS3002D
BS15B002,HS3002C
BS15B003,HS3002A
BS15B004,HS3002C
BS15B005,HS2050
BS15B006,HS5930
BS15B007,HS3002
BS15B008,HS3002
BS15B011,HS3002A
BS15B012,HS3002B
BS15B013,HS4002
BS15B014,HS4002
BS15B017,HS3002B
BS15B020,HS3420A
BS15B022,HS3002
BS15B023,HS3002C
BS15B024,HS3002C
BS15B025,HS3002A
BS15B027,HS5920
BS15B028,HS1090+
CH15B001,HS3002
CH15B002,HS3002
CH15B003,HS3002A
CH15B004,HS3002C
CH15B005,HS5070
CH15B006,HS3002D
CH15B007,HS3002B
CH15B008,HS3002B
CH15B009,HS5070
CH15B010,HS3002
CH15B011,HS3002C
CH15B012,HS3002
CH15B013,HS5920
CH15B014,HS4006
