RollNo,CourseNo,ColorGroup,Type,SortOrder
AE15B001,AS5711,0,ELEC,3
AE15B001,CS2300A,0,ELEC,4
AE15B001,CS2700,0,ELEC,2
AE15B001,CS7015,0,ELEC,1
AE15B001,EE2003,0,ELEC,8
AE15B001,GN5001,0,ELEC,14
AE15B001,GN6101,0,ELEC,13
AE15B001,GN6106,0,ELEC,11
AE15B001,GN6107,0,ELEC,12
AE15B001,HS4031,0,ELEC,7
AE15B001,ID5030,0,ELEC,5
AE15B001,MA2040,0,ELEC,10
AE15B001,MA5741,0,ELEC,9
AE15B001,MS4110,0,ELEC,6
AE15B002,AS4600,0,ELEC,4
AE15B002,EE5311,0,ELEC,2
AE15B002,EE6324,0,ELEC,1
AE15B002,HS1090,0,ELEC,6
AE15B002,HS1110,0,ELEC,5
AE15B002,HS3050,NULL,CORE,NULL
AE15B002,MA2031,0,ELEC,3
AE15B003,AM5011,2,ELEC,5
AE15B003,AM5050,0,ELEC,7
AE15B003,AM5119,2,ELEC,6
AE15B003,AS4600,0,ELEC,1
AE15B003,CE6015,1,ELEC,4
AE15B003,GN5001,0,ELEC,2
AE15B003,HS2030,3,ELEC,11
AE15B003,HS2050,3,ELEC,10
AE15B003,HS3031,3,ELEC,8
AE15B003,HS3060,3,ELEC,9
AE15B003,HS3420,3,ELEC,12
AE15B003,HS4002,4,ELEC,16
AE15B003,HS4031,4,ELEC,15
AE15B003,HS4290,4,ELEC,14
AE15B003,HS4300,3,ELEC,13
AE15B003,MS3710,1,ELEC,3
AE15B005,AS5711,0,ELEC,1
AE15B005,CS2700A,0,ELEC,3
AE15B005,GN6106,0,ELEC,6
AE15B005,HS3007,0,ELEC,2
AE15B005,ID5030,0,ELEC,5
AE15B005,MA2040,0,ELEC,7
AE15B006,AS4600,0,ELEC,11
AE15B006,AS5550,0,ELEC,2
AE15B006,AS5711,0,ELEC,9
AE15B006,CH5120,0,ELEC,4
AE15B006,CH5170,0,ELEC,3
AE15B006,GN5001,0,ELEC,12
AE15B006,GN6101,0,ELEC,14
AE15B006,GN6107,0,ELEC,13
AE15B006,HS1110,0,ELEC,10
AE15B006,HS2030,0,ELEC,8
AE15B006,HS3420,0,ELEC,7
AE15B006,HS3420A,0,ELEC,6
AE15B006,HS4300,0,ELEC,5
AE15B006,MS3510,0,ELEC,1
AE15B007,AS1020,NULL,BACKLOG,NULL
AE15B007,AS2010,NULL,BACKLOG,NULL
AE15B007,AS4600,0,ELEC,1
AE15B007,GN5001,0,ELEC,3
AE15B007,HS1090,2,ELEC,2
AE15B007,HS4002,2,ELEC,4
AE15B007,MA1101,NULL,BACKLOG,NULL
AE15B007,MA2010,NULL,BACKLOG,NULL
AE15B008,AS4600,0,ELEC,1
AE15B008,AS5420,5,ELEC,10
AE15B008,AS5570,0,ELEC,2
AE15B008,GN5001,1,ELEC,7
AE15B008,GN6101,1,ELEC,9
AE15B008,GN6106,1,ELEC,8
AE15B008,HS1090,2,ELEC,6
AE15B008,HS3031,4,ELEC,4
AE15B008,HS3420,4,ELEC,3
AE15B008,MS3610,3,ELEC,5
AE15B009,AS4600,0,ELEC,7
AE15B009,AS5370,0,ELEC,2
AE15B009,CH5120,0,ELEC,3
AE15B009,GN6107,0,ELEC,1
AE15B009,HS3420,1,ELEC,4
AE15B009,HS3420A,1,ELEC,5
AE15B009,HS4571,1,ELEC,6
AE15B010,AS5100,NULL,CORE,NULL
AE15B010,AS5470,0,ELEC,1
AE15B010,AS5545,0,ELEC,2
AE15B010,AS5570,0,ELEC,4
AE15B010,AS5711,0,ELEC,3
AE15B010,HS3031,1,ELEC,6
AE15B010,HS3420,1,ELEC,7
AE15B010,HS4350,1,ELEC,5
AE15B011,AS5420,5,ELEC,14
AE15B011,AS5711,1,ELEC,6
AE15B011,AS5925,0,ELEC,1
AE15B011,AS6020,3,ELEC,8
AE15B011,GN6101,4,ELEC,10
AE15B011,GN6106,4,ELEC,9
AE15B011,GN6107,4,ELEC,11
AE15B011,HS2050,2,ELEC,2
AE15B011,HS3007,2,ELEC,3
AE15B011,HS4010,2,ELEC,4
AE15B011,HS4350,10,ELEC,50
AE15B011,HS5920,5,ELEC,12
AE15B011,MA5400,3,ELEC,7
AE15B011,MA5540,5,ELEC,15
AE15B011,ME6127,1,ELEC,5
AE15B012,AS5420,0,ELEC,2
AE15B012,AS5711,0,ELEC,1
AE15B012,GN6101,0,ELEC,7
AE15B012,HS3420,0,ELEC,5
AE15B012,MS3510,0,ELEC,3
AE15B012,MS3610,0,ELEC,4
AE15B012,MS6010,0,ELEC,6
AE15B013,AS1020*,NULL,BACKLOG,NULL
AE15B013,AS5610,0,ELEC,4
AE15B013,AS5711,0,ELEC,1
AE15B013,GN6106,0,ELEC,3
AE15B013,HS3007,1,ELEC,2
AE15B013,HS3060,1,ELEC,7
AE15B013,MS3610,0,ELEC,5
AE15B013,MS6010,0,ELEC,6
AE15B014,AS5420,0,ELEC,1
AE15B014,AS6020,0,ELEC,4
AE15B014,ED5011,0,ELEC,2
AE15B014,ID6106,NULL,CORE,NULL
AE15B014,ME5129,NULL,CORE,NULL
AE15B014,ME6580,0,ELEC,3
AE15B015,AS5711,0,ELEC,4
AE15B015,CS5691,2,ELEC,2
AE15B015,CS7015,4,ELEC,1
AE15B015,EE4371,0,ELEC,11
AE15B015,EE4708,0,ELEC,5
AE15B015,GN6106,3,ELEC,8
AE15B015,HS3007,1,ELEC,10
AE15B015,HS3031,1,ELEC,9
AE15B015,HS3050,NULL,CORE,NULL
AE15B015,ID5030,2,ELEC,3
AE15B015,MS3610,3,ELEC,7
AE15B015,MS4110,3,ELEC,6
AE15B016,AS5711,0,ELEC,1
AE15B016,CS2700A,0,ELEC,2
AE15B016,HS3007,1,ELEC,6
AE15B016,HS3031,1,ELEC,5
AE15B016,ID5030,0,ELEC,4
AE15B016,MS4110,0,ELEC,7
AE15B018,AS3020,NULL,CORE,NULL
AE15B018,AS5610,0,ELEC,7
AE15B018,AS5711,0,ELEC,8
AE15B018,HS2050,2,ELEC,4
AE15B018,HS3007,2,ELEC,1
AE15B018,HS3060,2,ELEC,2
AE15B018,HS4350,2,ELEC,3
AE15B018,MA2040,0,ELEC,5
AE15B018,MS3610,0,ELEC,6
AE15B018,MS6010,0,ELEC,9
AE15B019,AM5650,0,ELEC,3
AE15B019,AS4600,0,ELEC,1
AE15B019,AS5100,0,ELEC,2
AE15B019,AS5320,0,ELEC,6
AE15B019,AS5610,0,ELEC,4
AE15B019,HS2050,0,ELEC,5
AE15B020,AS5420,4,ELEC,12
AE15B020,AS5711,2,ELEC,11
AE15B020,AS6020,0,ELEC,1
AE15B020,ED1090,3,ELEC,18
AE15B020,ED1091,3,ELEC,17
AE15B020,GN5001,5,ELEC,16
AE15B020,GN6101,5,ELEC,14
AE15B020,GN6106,5,ELEC,13
AE15B020,GN6107,5,ELEC,15
AE15B020,HS2030,1,ELEC,3
AE15B020,HS3060,1,ELEC,4
AE15B020,HS3420,1,ELEC,5
AE15B020,HS3420A,1,ELEC,6
AE15B020,HS4005,1,ELEC,8
AE15B020,HS4010,1,ELEC,7
AE15B020,HS4210,1,ELEC,9
AE15B020,MA5540,0,ELEC,2
AE15B020,ME6127,2,ELEC,10
AE15B021,AS5711,0,ELEC,1
AE15B021,CS2700A,0,ELEC,2
AE15B021,HS3007,1,ELEC,6
AE15B021,HS3031,1,ELEC,5
AE15B021,ID5030,0,ELEC,4
AE15B021,MS4110,0,ELEC,7
AE15B022,AS5100,NULL,CORE,NULL
AE15B022,AS5545,0,ELEC,1
AE15B022,CH5170,1,ELEC,5
AE15B022,GN5001,3,ELEC,9
AE15B022,GN6101,3,ELEC,7
AE15B022,GN6106,3,ELEC,6
AE15B022,GN6107,3,ELEC,8
AE15B022,HS3007,2,ELEC,11
AE15B022,HS3031,2,ELEC,12
AE15B022,HS4001,2,ELEC,10
AE15B022,HS4010,2,ELEC,13
AE15B022,ID5030,1,ELEC,3
AE15B022,MA5540,0,ELEC,2
AE15B022,MS4110,1,ELEC,4
AE15B023,AS5545,0,ELEC,1
AE15B023,AS5711,4,ELEC,15
AE15B023,AS6020,4,ELEC,14
AE15B023,CH5170,3,ELEC,12
AE15B023,GN5001,5,ELEC,19
AE15B023,GN6101,5,ELEC,17
AE15B023,GN6106,5,ELEC,16
AE15B023,GN6107,5,ELEC,18
AE15B023,HS2030,2,ELEC,4
AE15B023,HS3007,2,ELEC,9
AE15B023,HS3060,2,ELEC,5
AE15B023,HS4005,2,ELEC,7
AE15B023,HS4010,2,ELEC,6
AE15B023,HS4210,2,ELEC,8
AE15B023,ID5030,3,ELEC,10
AE15B023,MA5540,1,ELEC,2
AE15B023,MA5890,1,ELEC,3
AE15B023,ME6127,4,ELEC,13
AE15B023,MS4110,3,ELEC,11
AE15B025,AM5024,0,ELEC,9
AE15B025,AS1020,NULL,BACKLOG,NULL
AE15B025,AS2010,NULL,BACKLOG,NULL
AE15B025,AS5570,0,ELEC,3
AE15B025,AS5925,0,ELEC,2
AE15B025,BT2010,0,ELEC,8
AE15B025,GN6106,0,ELEC,4
AE15B025,GN6107,0,ELEC,6
AE15B025,HS1110,0,ELEC,5
AE15B025,HS4002,0,ELEC,7
AE15B025,MA2010,NULL,BACKLOG,NULL
AE15B025,MS3510,0,ELEC,1
AE15B026,AS5100,NULL,CORE,NULL
AE15B026,AS5545,0,ELEC,3
AE15B026,CH5120,0,ELEC,1
AE15B026,CH5170,0,ELEC,5
AE15B026,MA5540,0,ELEC,2
AE15B026,PH5211,0,ELEC,4
AE15B029,AS4600,0,ELEC,7
AE15B029,AS5711,0,ELEC,6
AE15B029,BT3051,1,ELEC,10
AE15B029,EE4371,0,ELEC,3
AE15B029,GN5001,0,ELEC,2
AE15B029,GN6106,0,ELEC,8
AE15B029,HS2030,2,ELEC,12
AE15B029,HS3007,2,ELEC,1
AE15B029,HS3060,2,ELEC,11
AE15B029,ID5030,4,ELEC,9
AE15B029,MS3510,4,ELEC,4
AE15B029,MS4110,1,ELEC,5
AE15B030,AM5650,0,ELEC,4
AE15B030,AS5100,NULL,CORE,NULL
AE15B030,AS5880,0,ELEC,5
AE15B030,CH5120,0,ELEC,8
AE15B030,GN6106,0,ELEC,6
AE15B030,HS1090,1,ELEC,2
AE15B030,HS1110,1,ELEC,1
AE15B030,HS2030,0,ELEC,3
AE15B030,ID4100,0,ELEC,7
AE15B031,AS5320,0,ELEC,2
AE15B031,AS5550,0,ELEC,1
AE15B031,AS5570,0,ELEC,5
AE15B031,CE1010,0,ELEC,4
AE15B031,HS3031,0,ELEC,3
AE15B031,HS3050,NULL,CORE,NULL
AE15B031,HS4002,0,ELEC,6
AE15B032,AS5711,0,ELEC,1
AE15B032,CS2700A,0,ELEC,2
AE15B032,HS3007,1,ELEC,7
AE15B032,HS3031,1,ELEC,4
AE15B032,ID5030,0,ELEC,5
AE15B032,MS4110,0,ELEC,6
AE15B033,AS5470,0,ELEC,10
AE15B033,AS5570,0,ELEC,11
AE15B033,AS5711,0,ELEC,1
AE15B033,CH5350,0,ELEC,4
AE15B033,GN5001,2,ELEC,3
AE15B033,GN6101,2,ELEC,12
AE15B033,GN6106,2,ELEC,13
AE15B033,HS1110,0,ELEC,9
AE15B033,HS3420,0,ELEC,8
AE15B033,HS4300,0,ELEC,5
AE15B033,MS3510,0,ELEC,7
AE15B033,MS3610,0,ELEC,6
AE15B033,MS4110,0,ELEC,2
AE15B035,AS5100,NULL,CORE,NULL
AE15B035,CH5170,0,ELEC,5
AE15B035,CH5350,0,ELEC,1
AE15B035,GN5001,0,ELEC,3
AE15B035,ID4100,0,ELEC,7
AE15B035,MS3510,0,ELEC,2
AE15B035,MS3610,0,ELEC,6
AE15B035,MS4100,0,ELEC,4
AE15B036,AM5650,0,ELEC,4
AE15B036,AS5100,NULL,CORE,NULL
AE15B036,AS5470,0,ELEC,3
AE15B036,AS5545,0,ELEC,5
AE15B036,AS5711,0,ELEC,2
AE15B036,HS1090,1,ELEC,1
AE15B037,AM5640,0,ELEC,5
AE15B037,CS7015,0,ELEC,1
AE15B037,EE4371,0,ELEC,4
AE15B037,HS4001,0,ELEC,6
AE15B037,ID5030,0,ELEC,2
AE15B037,ID6040,0,ELEC,3
AE15B038,AS4600,0,ELEC,6
AE15B038,AS5711,0,ELEC,5
AE15B038,EE4371,0,ELEC,2
AE15B038,HS4001,0,ELEC,3
AE15B038,ID5030,0,ELEC,4
AE15B038,MS3610,0,ELEC,1
AE15B038,MS6010,0,ELEC,7
AE15B039,CH5350,0,ELEC,3
AE15B039,EE4371,0,ELEC,5
AE15B039,GN5001,0,ELEC,4
AE15B039,HS2030,0,ELEC,2
AE15B039,ID5030,0,ELEC,1
AE15B040,AS5570,0,ELEC,5
AE15B040,CH5350,0,ELEC,1
AE15B040,EE4371,0,ELEC,6
AE15B040,GN5001,0,ELEC,4
AE15B040,HS4001,0,ELEC,3
AE15B040,HS4300,0,ELEC,7
AE15B040,ID5030,0,ELEC,2
AE15B042,AS5711,0,ELEC,5
AE15B042,CS2700A,0,ELEC,1
AE15B042,GN6106,0,ELEC,6
AE15B042,HS4010,0,ELEC,4
AE15B042,MA2040,0,ELEC,3
AE15B042,MS3610,1,ELEC,7
AE15B042,MS4110,1,ELEC,8
AE15B043,AS5100,NULL,CORE,NULL
AE15B043,AS5550,0,ELEC,5
AE15B043,AS5570,0,ELEC,1
AE15B043,AS5711,0,ELEC,4
AE15B043,HS4001,0,ELEC,2
AE15B043,MS4110,0,ELEC,3
AE15B044,AS5100,0,ELEC,11
AE15B044,AS5550,0,ELEC,5
AE15B044,AS5570,0,ELEC,9
AE15B044,AS5711,0,ELEC,1
AE15B044,GN5001,0,ELEC,6
AE15B044,GN6106,0,ELEC,7
AE15B044,HS2030,0,ELEC,4
AE15B044,HS3420,0,ELEC,3
AE15B044,ID4100,0,ELEC,10
AE15B044,MA2040,0,ELEC,8
AE15B044,PH5460,0,ELEC,2
AE15B045,AS5711,0,ELEC,5
AE15B045,CS2700A,3,ELEC,1
AE15B045,HS3420,5,ELEC,6
AE15B045,HS3420A,5,ELEC,7
AE15B045,ID5030,2,ELEC,3
AE15B045,MS4110,4,ELEC,4
AE15B046,AM6516,3,ELEC,2
AE15B046,AS5100,NULL,CORE,NULL
AE15B046,AS5610,4,ELEC,4
AE15B046,BT3072,1,ELEC,3
AE15B046,BT6270,2,ELEC,1
AE15B046,HS2050,5,ELEC,7
AE15B046,HS3031,5,ELEC,8
AE15B046,HS4001,5,ELEC,6
AE15B046,MA2040,0,ELEC,5
AE15B049,AS1020,NULL,BACKLOG,NULL
AE15B049,AS2010,NULL,BACKLOG,NULL
AE15B049,AS2100,NULL,BACKLOG,NULL
