Student ID, Course Alloted, Preference Number
AE15B001,HS4006,4
AE15B002,HS3002C,1
AE15B003,HS3002,1
AE15B005,HS3002A,2
AE15B006,HS3002,1
AE15B007,HS3002,1
AE15B008,HS5930,1
AE15B009,HS3002C,5
AE15B010,HS2050,3
AE15B011,HS5930,4
AE15B012,HS5070,7
AE15B013,HS3002,1
AE15B014,HS2050,1
AE15B015,HS5920,1
AE15B016,HS3002C,4
AE15B017,HS3002B,1
AE15B018,HS3280,4
AE15B019,HS5930,1
AE15B020,HS3002,1
AE15B021,HS3002C,4
AE15B022,HS3002B,3
AE15B023,HS5070,4
AE15B025,HS1090+,2
AE15B026,HS1090+,2
AE15B029,HS4002,4
AE15B030,HS3002A,2
AE15B031,HS3002A,2
AE15B032,HS3002C,4
AE15B033,HS3002C,6
AE15B034,HS5930,2
AE15B035,HS3002A,2
AE15B036,HS3002A,2
AE15B038,HS3002C,4
AE15B039,HS5070,4
AE15B040,HS3002C,4
AE15B042,HS2050,1
AE15B043,HS3002A,2
AE15B044,HS1090+,2
AE15B045,HS3002C,4
AE15B046,HS2050,3
AE15B049,HS4002,1
AE15B050,HS3002D,1
AE15B051,HS2050,4
AE15B053,HS3002C,3
AE15B055,HS5920,1
AE15B056,HS3002A,2
AE15B058,HS5930,2
AE15B059,HS1090+,2
BE15B004,HS3002A,2
BE15B005,HS3002A,2
BE15B006,HS3002A,2
BE15B007,HS1090+,1
BE15B008,HS3002B,2
BE15B009,HS1090+,1
BE15B011,HS3002,1
BE15B012,HS3002B,2
BE15B013,HS3002A,1
BE15B014,HS3002,1
BE15B015,HS3002,1
BE15B017,HS5070,4
BE15B018,HS3002,1
BE15B019,HS3002D,1
BE15B021,HS1090+,3
BE15B022,HS3002B,1
BE15B023,HS3002B,2
BE15B025,HS5930,1
BE15B026,HS3002D,1
BE15B027,HS3002D,2
BE15B028,HS1090+,2
BE15B029,HS5930,1
BE15B030,HS1090+,2
BE15B031,HS5920,1
BS15B001,HS3002D,1
BS15B002,HS3002C,4
BS15B003,HS3002A,2
BS15B004,HS3002C,4
BS15B005,HS2050,1
BS15B006,HS5930,1
BS15B007,HS3002,1
BS15B008,HS3002,1
BS15B011,HS3002A,2
BS15B012,HS3002B,3
BS15B013,HS4002,4
BS15B014,HS4002,1
BS15B017,HS3002B,1
BS15B020,HS3420A,1
BS15B022,HS3002,1
BS15B023,HS3002C,4
BS15B024,HS3002C,4
BS15B025,HS3002A,2
BS15B027,HS5920,1
BS15B028,HS1090+,1
CH15B001,HS3002,1
CH15B002,HS3002,1
CH15B003,HS3002A,2
CH15B004,HS3002C,4
CH15B005,HS5070,1
CH15B006,HS3002D,1
CH15B007,HS3002B,1
CH15B008,HS3002B,1
CH15B009,HS5070,1
CH15B010,HS3002,1
CH15B011,HS3002C,4
CH15B012,HS3002,1
CH15B013,HS5920,1
CH15B014,HS4006,1
CH15B016,HS3002,1
CH15B017,HS3002A,1
CH15B018,HS3002C,4
CH15B019,HS3002B,1
CH15B021,HS1090+,1
CH15B022,HS3002B,2
CH15B024,HS5920,1
CH15B025,HS3002D,5
CH15B026,HS5930,2
CH15B027,HS5930,3
CH15B028,HS3002B,2
CH15B029,HS1090+,3
CH15B030,HS3002D,1
CH15B031,HS3002D,1
CH15B033,HS3002,1
CH15B034,HS1090+,2
CH15B035,HS3002D,1
CH15B036,HS5920,1
CH15B037,HS5920,1
CH15B038,HS3002B,1
CH15B039,HS3002A,2
CH15B040,HS3002D,8
CH15B041,HS3002B,3
CH15B042,HS3002B,1
CH15B043,HS5920,2
CH15B044,HS3002D,1
CH15B045,HS3002,1
CH15B047,HS5930,1
CH15B048,HS1090+,2
CH15B049,HS5920,1
CH15B050,HS5930,2
CH15B051,HS3002C,4
CH15B052,HS3002C,4
CH15B053,HS3002D,2
CH15B054,HS3002,1
CH15B055,HS3002D,8
CH15B056,HS3002D,8
CH15B057,HS3002C,4
CH15B058,HS4540,2
CH15B059,HS4540,2
CH15B060,HS3002C,4
CH15B061,HS3002C,4
CH15B062,HS3002B,3
CH15B063,HS3002C,5
CH15B064,HS3002D,8
CH15B065,HS3002,1
CH15B066,HS4540,1
CH15B067,HS3002D,1
CH15B069,HS3002D,1
CH15B070,HS5930,2
CH15B071,HS3002,1
CH15B073,HS5930,3
CH15B074,HS2050,2
CH15B075,HS3002B,1
CH15B076,HS3002B,1
CH15B077,HS3002B,1
CH15B078,HS3002C,4
CH15B079,HS3002B,3
CH15B081,HS5930,2
CH15B082,HS5920,2
CH15B083,HS3002B,1
CH15B084,HS3002B,1
CH15B086,HS3002A,2
CH15B087,HS3002,1
CH15B088,HS3002A,2
CH15B090,HS3002C,5
CH15B093,HS3002A,2
CH15B094,HS3002C,4
CH15B095,HS3002A,2
CH15B097,HS3002B,2
CS15B001,HS3002C,4
CS15B002,HS3002B,2
CS15B003,HS3002B,2
CS15B004,HS3280,1
CS15B005,HS3002B,2
CS15B006,HS5930,1
CS15B007,HS3002B,1
CS15B008,HS3002C,6
CS15B009,HS4540,5
CS15B010,HS3002C,4
CS15B011,HS3002A,2
CS15B012,HS3002C,1
CS15B013,HS3002D,1
CS15B014,HS3002,1
CS15B015,HS5920,6
CS15B016,HS1090+,2
CS15B017,HS3002A,2
CS15B018,HS5930,1
CS15B019,HS3002B,1
CS15B020,HS3002D,1
CS15B021,HS3002C,4
CS15B022,HS5920,1
CS15B023,HS3002A,2
CS15B024,HS3002A,2
CS15B025,HS3002D,8
CS15B026,HS5930,1
CS15B027,HS3002A,1
CS15B028,HS3002,1
CS15B029,HS3002,1
CS15B030,HS3002,1
CS15B031,HS1090+,2
CS15B032,HS3002D,1
CS15B033,HS3002B,1
CS15B034,HS3002,1
CS15B035,HS3002,1
CS15B036,HS3002A,2
CS15B037,HS5930,1
CS15B038,HS3002B,1
CS15B039,HS3002C,3
CS15B040,HS3002,1
CS15B041,HS3002C,6
CS15B042,HS5930,1
CS15B043,HS5930,1
CS15B044,HS3002A,2
CS15B045,HS3002A,2
CS15B046,HS3002,1
CS15B047,HS3002B,3
CS15B048,HS4002,4
CS15B049,HS4006,1
CS15B050,HS1090+,2
CS15B051,HS3002A,2
CS15B052,HS1090+,1
CS15B053,HS3002B,1
CS15B054,HS3002,1
CS15B056,HS1090+,1
CS15B057,HS3002A,2
CS15B058,HS3002C,5
CS15B059,HS3002D,1
CS15B060,HS3002D,1
CS15B061,HS2050,3
EE15B001,HS3002A,2
EE15B002,HS4540,4
EE15B003,HS4540,1
EE15B004,HS3280,1
EE15B005,HS2050,1
EE15B006,HS1090+,2
EE15B007,HS1090+,2
EE15B008,HS3002A,1
EE15B009,HS1090+,2
EE15B010,HS5930,1
EE15B011,HS3002C,5
EE15B012,HS3280,4
EE15B014,HS1090+,2
EE15B015,HS3002,1
EE15B016,HS1090+,2
EE15B017,HS3420A,2
EE15B018,HS5920,5
EE15B019,HS1090+,1
EE15B020,HS3002,1
EE15B021,HS3002D,7
EE15B022,HS1090+,2
EE15B024,HS2050,4
EE15B025,HS1090+,3
EE15B026,HS5920,4
EE15B027,HS3280,3
EE15B028,HS3002B,3
EE15B029,HS5920,1
EE15B030,HS1090+,2
EE15B031,HS3002C,1
EE15B032,HS3002A,2
EE15B033,HS5920,1
EE15B034,HS5930,1
EE15B035,HS1090+,2
EE15B036,HS3002A,1
EE15B037,HS3002A,2
EE15B038,HS5920,1
EE15B039,HS2050,3
EE15B040,HS2050,3
EE15B041,HS3002C,4
EE15B042,HS4006,1
EE15B043,HS5920,1
EE15B044,HS3002D,8
EE15B045,HS4006,1
EE15B046,HS3002A,2
EE15B047,HS5930,1
EE15B048,HS1090+,2
EE15B049,HS4002,5
EE15B050,HS3002,1
EE15B051,HS4006,1
EE15B052,HS4002,4
EE15B053,HS5930,1
EE15B054,HS3420A,1
EE15B055,HS2050,2
EE15B056,HS3280,5
EE15B057,HS1090+,2
EE15B058,HS1090+,2
EE15B059,HS3002,1
EE15B060,HS3002,1
EE15B062,HS3002A,1
EE15B063,HS3002C,2
EE15B064,HS5930,2
EE15B065,HS3002D,8
EE15B066,HS1090+,2
EE15B067,HS2050,1
EE15B068,HS3002,1
EE15B069,HS1090+,3
EE15B070,HS5920,1
EE15B071,HS2050,1
EE15B072,HS1090+,2
EE15B073,HS1090+,2
EE15B074,HS5930,1
EE15B075,HS3002C,2
EE15B076,HS1090+,2
EE15B077,HS5920,1
EE15B078,HS3002A,2
EE15B079,HS1090+,2
EE15B080,HS3002C,4
EE15B081,HS5920,5
EE15B082,HS4540,2
EE15B083,HS3280,1
EE15B084,HS3002A,2
EE15B085,HS2050,1
EE15B086,HS3280,1
EE15B087,HS1090+,2
EE15B088,HS2050,4
EE15B089,HS5920,1
EE15B090,HS5930,1
EE15B091,HS3002B,1
EE15B092,HS3002,1
EE15B093,HS3002C,5
EE15B094,HS3002B,3
EE15B095,HS2050,1
EE15B096,HS3002A,2
EE15B097,HS2050,1
EE15B098,HS3002D,1
EE15B099,HS3280,2
EE15B100,HS5930,1
EE15B101,HS1090+,2
EE15B102,HS5930,1
EE15B103,HS3002D,1
EE15B104,HS1090+,2
EE15B105,HS3002C,4
EE15B106,HS3420A,4
EE15B107,HS3002,1
EE15B108,HS3280,3
EE15B109,HS2050,5
EE15B110,HS4005,1
EE15B111,HS3002,1
EE15B112,HS5920,1
EE15B113,HS3002D,1
EE15B114,HS3002C,4
EE15B115,HS5930,1
EE15B116,HS4002,1
EE15B117,HS3002,1
EE15B118,HS4005,3
EE15B119,HS3002D,8
EE15B120,HS3002C,4
EE15B121,HS3002C,4
EE15B122,HS3002,1
