Student ID,Course Alloted,Preference Number
BE15B004,MA2020,1
BE15B005,MA2020,1
BE15B006,MA2020,1
BE15B007,MA2020,1
BE15B008,MA2020,1
BE15B009,MA2020,1
BE15B011,MA2031,1
BE15B012,MA2020,1
BE15B013,MA2020,1
BE15B014,MA2020,1
BE15B015,MA2020,1
BE15B017,MA2020,1
BE15B018,MA2020,1
BE15B019,MA2020,1
BE15B021,MA2020,1
BE15B022,MA2031,1
BE15B023,MA2020,1
BE15B025,MA2020,1
BE15B026,MA2020,1
BE15B027,MA2031,1
BE15B028,MA2020,1
BE15B029,MA2020,1
BE15B030,MA2020,1
BE15B031,MA2020,1
BE15B032,MA2031,1
CE15B001,MA2020,1
CE15B002,MA2020,1
CE15B003,MA2020,1
CE15B004,MA2040,1
CE15B005,MA2020,1
CE15B006,MA2020,1
CE15B007,MA2040,1
CE15B009,MA2040,1
CE15B010,MA2020,1
CE15B011,MA2040,1
CE15B012,MA2020,1
CE15B013,MA2040,1
CE15B015,MA2020,1
CE15B017,MA2020,1
CE15B018,MA2020,1
CE15B019,MA2020,1
CE15B021,MA2020,1
CE15B022,MA2020,1
CE15B023,MA2031,1
CE15B024,MA2020,1
CE15B026,MA2020,1
CE15B027,MA2020,1
CE15B028,MA2020,1
CE15B029,MA2020,1
CE15B030,MA2040,1
CE15B031,MA2040,1
CE15B032,MA2040,1
CE15B033,MA2040,1
CE15B034,MA2020,1
CE15B035,MA2130,1
CE15B036,MA2020,1
CE15B037,MA2020,1
CE15B038,MA2020,1
CE15B039,MA2040,1
CE15B040,MA2020,1
CE15B041,MA2040,1
CE15B042,MA2020,1
CE15B043,MA2020,1
CE15B044,MA2020,1
CE15B045,MA2040,1
CE15B046,MA2020,1
CE15B047,MA2020,1
CE15B048,MA2040,1
CE15B049,MA2020,1
CE15B050,MA2020,1
CE15B051,MA2020,1
CE15B052,MA2020,1
CE15B053,MA2020,1
CE15B054,MA2020,1
CE15B055,MA2040,1
CE15B056,MA2040,1
CE15B057,MA2020,1
CE15B058,MA2020,1
CE15B059,MA2020,1
CE15B060,MA2020,1
CE15B062,MA2020,1
CE15B063,MA2020,1
CE15B064,MA2040,1
CE15B065,MA2020,1
CE15B066,MA2130,1
CE15B067,MA2020,1
CE15B068,MA2020,1
CE15B069,MA2040,1
CE15B070,MA2020,1
CE15B071,MA2020,1
CE15B072,MA2020,1
CE15B073,MA2020,1
CE15B074,MA2020,1
CE15B075,MA2020,1
CE15B076,MA2020,1
CE15B077,MA2020,1
CE15B078,MA2020,1
CE15B079,MA2020,1
CE15B082,MA2020,1
CE15B084,MA2020,1
CE15B085,MA2020,1
CE15B086,MA2020,1
CE15B087,MA2020,1
CE15B088,MA2020,1
CE15B089,MA2040,1
CE15B091,MA2020,1
CE15B092,MA2020,1
CE15B093,MA2020,1
CE15B094,MA2020,1
CE15B095,MA2020,1
CE15B096,MA2020,1
CE15B100,MA2040,1
CE15B101,MA2020,1
CE15B102,MA2020,1
CE15B103,MA2020,1
CE15B104,MA2020,1
CE15B105,MA2020,1
CH15B001,MA2020,1
CH15B002,MA2020,1
CH15B003,MA2020,1
CH15B004,MA2020,1
CH15B005,MA2020,1
