CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot
CE5280,CE,60,30,2,9,G,,
CE5337,CE,60,30,2,9,Q,,
CE5338,CE,60,30,2,9,D,,
CE5500,CE,60,30,2,6,P,,
CE5670,CE,10,0,1,9,L,,
CE5800,CE,60,10,2,9,B,,
CE5850,CE,60,10,2,6,P,,
CH5019,CH,40,20,1,9,F,,
CH5024,CH,40,10,1,9,H,,
ED1092,ED,20,20,1,9,P1,,
ED5012,ED,20,20,3,9,D,,
ED5018,ED,40,40,3,9,ZZ,,
ED5316,ED,20,5,3,10,D,,
EE5155,EE,60,20,2,10,A,,
EE6022,EE,60,20,2,3,XX,,
HS2370A,HS,50,50,2,9,F,,
HS3029,HS,45,45,2,9,D,,
HS3280A,HS,50,50,1,9,F,,
ME6225,ME,40,20,1,9,F,,
ME6230,ME,40,20,1,9,D,,
ME6999,ME,120,0,1,9,YY,,
MM5020,MM,50,20,3,9,B,,
OE5011,OE,35,15,1,11,G,,
PH5811,PH,15,15,1,9,F,,
AM1100,AM,30,0,1,10,E,,
AM5199,AM,20,0,1,9,J,,
AS1300,AE,8,8,3,11,A,,
AS2030,AE,7,7,3,11,C,K,
AS2050,AE,8,8,3,11,D,L,
AS2070slotE,AE,8,8,3,10,E,,
AS2070slotF,AE,8,8,3,10,F,,
AS2080,AE,8,8,3,10,B,,
AS2510,AE,8,0,3,5,R,G,
AS3050,AE,0,0,3,12,E,LD,
AS3271,AE,8,8,3,10,F,,
AS3520,AE,8,0,3,5,P,M,
AS5211,AE,79,0,3,12,S,HD,J
AS5212,AE,70,0,3,12,S,HD,J
AS5213,AE,58,0,3,12,S,HD,J
AS5400,AE,48,7,3,9,D,,
AS5435,AE,49,8,3,9,A,,
AS5460,AE,48,8,3,9,B,,
AS5540,AE,32,0,3,9,B,,
AS5670,AE,48,8,3,9,C,,
AS5710,AE,47,6,3,9,K,,
AS5850,AE,45,5,3,9,D,,
AS5990,AE,49,8,3,9,B,,
AS6010,AE,48,8,3,9,A,,
AS6060,AE,44,7,3,9,C,,
AS6320,AE,49,8,3,9,K,,
BT1010,BT,9,9,2,9,G,,
BT1020,BT,10,10,2,11,F,YY,
BT2020,BT,9,9,2,9,B,Q,
BT2022,BT,17,17,2,10,A,,
BT2041,BT,40,20,2,11,D,P,
BT2042,BT,40,20,2,10,D,,
