Student Roll Number, Preference with zero capacity
AE15B005,AS5211$outside
AE15B007,AS5213$outside
AE15B012,AS5212$outside
AE15B013,AS5213$outside
AE15B039,AS5540$outside
AE15B039,AS5212$outside
BE15B008,BT2022$inside
BE15B009,ED5060$outside
BE15B012,BT2022$inside
BE15B012,HS1110$outside
BE15B014,BT2022$inside
BE15B015,BT2022$inside
BE15B018,BT2022$inside
BE15B021,BT2022$inside
BE15B023,BT2022$inside
BE15B023,HS1110$outside
BE15B026,BT2022$inside
BE16B001,HS1110$outside
BE16B009,HS5920$outside
BE16B015,HS1110$outside
BE16B026,HS1110$outside
BE16B026,HS4571$outside
BE16B034,HS1110$outside
BS15B006,HS1110$outside
CE15B006,CE5670$outside
CE15B007,HS1110$outside
CE15B013,CE5670$outside
CE15B028,HS5920$outside
CE15B035,CE5670$outside
CE15B066,HS1110$outside
CE15B076,CE4901$outside
CE15B086,HS1110$outside
CE15B086,HS4571$outside
CE15B089,HS1110$outside
CE15B092,HS1110$outside
CE15B092,HS5920$outside
CE15B092,HS4571$outside
CE15B094,HS5920$outside
CE15B094,HS4571$outside
CE15B094,HS1110$outside
CE15B099,HS5920$outside
CE15B103,HS5920$outside
CE15B103,HS1110$outside
CE15B104,CE5670$outside
CE15B104,HS1110$outside
CE15B104,HS4571$outside
CE15B104,HS5920$outside
CE16B013,HS5920$outside
CE16B025,HS4571$outside
CE16B025,HS1110$outside
CE16B025,HS5920$outside
CE16B030,HS4571$outside
CE16B030,HS1110$outside
CE16B030,HS5920$outside
CE16B033,HS5920$outside
CE16B043,HS5920$outside
CE16B050,HS5920$outside
CE16B054,HS1110$outside
CE16B062,HS1110$outside
CE16B062,HS4571$outside
CE16B062,HS5920$outside
CE16B107,HS1110$outside
CE16B107,HS5920$outside
CE16B111,HS1110$outside
CE16B111,HS4571$outside
CE16B111,HS5920$outside
CE16B114,HS5920$outside
CH15B001,HS5920$outside
CH15B007,HS5920$outside
CH15B008,HS4571$outside
CH15B008,HS5920$outside
CH15B014,CH5200$inside
CH15B016,CH5015$inside
CH15B019,CH5200$inside
CH15B028,CH5015$inside
CH15B029,CH5200$inside
CH15B033,CH5200$inside
CH15B035,CH5015$inside
CH15B043,CH5015$inside
CH15B043,CH5200$inside
CH15B063,CH5200$inside
CH15B063,CH5015$inside
CH15B070,CH5015$inside
CH15B075,CH5015$inside
CH15B075,CH5200$inside
CH15B076,CH5015$inside
CH15B076,CH5200$inside
CH15B077,CH5015$inside
CH15B077,CH5200$inside
CH15B079,CH5015$inside
CH15B084,CH5015$inside
CH15B084,CH5200$inside
CS15B016,CS6852$inside
CS15B018,CS6530$inside
CS15B023,CS6530$inside
CS15B038,HS1110$outside
CS15B041,HS4571$outside
CS15B041,HS1110$outside
CS15B043,GN6106$outside
CS15B047,CS6852$inside
CS15B054,CS6530$inside
CS15B054,HS5920$outside
ED15B011,ED5018$inside
ED15B011,ED5012$inside
ED15B015,ED5012$inside
ED15B028,ED5012$inside
ED15B029,HS5920$outside
ED15B029,ED5012$inside
ED15B030,ED5012$inside
ED15B033,ED5012$inside
ED15B040,EE4371$outside
ED15B040,GN6106$outside
ED15B040,HS1110$outside
ED15B040,ED5511$outside
ED15B040,ED5018$inside
ED15B047,ED5511$outside
ED15B054,HS1110$outside
ED15B056,EE4371$outside
ED15B056,ED5012$inside
ED16B008,ED5018$inside
EE15B004,EE3402$outside
EE15B008,EE4371$outside
EE15B014,EE3110$outside
EE15B015,EE4371$outside
EE15B025,HS1110$outside
EE15B028,EE4371$outside
EE15B029,EE4371$outside
EE15B037,EE3402$outside
EE15B038,EE4371$outside
EE15B040,EE3402$outside
EE15B040,EE4371$outside
EE15B040,EE3110$outside
EE15B045,EE3110$outside
EE15B054,EE3110$outside
EE15B057,EE3402$outside
EE15B062,BT3041$outside
EE15B062,EE4371$outside
EE15B070,EE4371$outside
EE15B071,HS1110$outside
EE15B076,EE4371$outside
EE15B078,EE4371$outside
EE15B085,EE3110$outside
EE15B093,EE3110$outside
EE15B094,EE3110$outside
EE15B096,EE4371$outside
EE15B098,EE3110$outside
EE15B098,HS1110$outside
EE15B098,HS4571$outside
EE15B110,EE5351$outside
EE15B115,HS1110$outside
EE15B115,HS5920$outside
EE15B116,GN6106$outside
EE15B116,EE3110$outside
EE15B119,EE4371$outside
EE15B120,EE3110$outside
EE15B123,EE3110$outside
EE15B124,EE4371$outside
EE15B124,HS1110$outside
EE15B127,EE3110$outside
EE15B128,EE3110$outside
EE15B131,EE3110$outside
EP15B002,PH5720$inside
EP15B011,EE4371$outside
EP15B015,PH5720$inside
EP15B016,PH5720$inside
EP15B028,EE4371$outside
EP16B030,HS1110$outside
ME15B004,CH3050$outside
ME15B005,CH3050$outside
ME15B006,ME6125$inside
ME15B007,ME6125$inside
ME15B007,ME4001$outside
ME15B007,ME6006$inside
ME15B007,CH3050$outside
ME15B011,CH3050$outside
ME15B013,HS5920$outside
ME15B018,BT3041$outside
ME15B020,BT3041$outside
ME15B027,ME6125$inside
ME15B027,ED5015$outside
ME15B031,ME4001$outside
ME15B032,ME6125$inside
ME15B033,BT3041$outside
ME15B033,ME6125$inside
ME15B033,ME6006$inside
ME15B046,BT3041$outside
