Student Roll No,Course Number,Reason for Not allotting Preference
AE15B003,AS5710$inside,For this student max credits in semester is 63 and Core courses registered are MA2020(9 credits)+AS3271(10 credits)+AS3050(12 credits)+AS2080(10 credits)+AS3520(5 credits)+AS5211(12 credits)+ and AS5710 takes 9 credits which is greater than the 5 remaining elective credits.
AE15B003,AS5710$outside,For this student max credits in semester is 63 and Core courses registered are MA2020(9 credits)+AS3271(10 credits)+AS3050(12 credits)+AS2080(10 credits)+AS3520(5 credits)+AS5211(12 credits)+ and AS5710 takes 9 credits which is greater than the 5 remaining elective credits.
AE15B005,AS5211$outside,Already allotted to inside department version of the course
AE15B007,AS5213$outside,Already allotted to inside department version of the course
AE15B012,AS5212$outside,Already allotted to inside department version of the course
AE15B013,AS5213$outside,Already allotted to inside department version of the course
AE15B039,MA2040$outside,Course capacity is full.
AE15B039,AS5540$inside,Slot Clash with already allotted elective course CS1200
AE15B039,AS5540$outside,Slot Clash with already allotted elective course CS1200
AE15B039,AS5212$outside,Already allotted to inside department version of the course
AE15B044,AS5710$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+MA2020(9 credits)+AS2080(10 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and AS5710 takes 9 credits which is greater than the 8 remaining elective credits.
AE15B044,AS5710$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+MA2020(9 credits)+AS2080(10 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and AS5710 takes 9 credits which is greater than the 8 remaining elective credits.
AE15B044,AS5212$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+MA2020(9 credits)+AS2080(10 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and AS5212 takes 12 credits which is greater than the 8 remaining elective credits.
AE15B044,AS5212$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+MA2020(9 credits)+AS2080(10 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and AS5212 takes 12 credits which is greater than the 8 remaining elective credits.
BE15B008,BT2022$inside,Course capacity is full.
BE15B009,GN6106$outside,Slot Clash with core course BT3110
BE15B009,BT3040$outside,Already allotted to inside department version of the course
BE15B009,ED5060$outside,Course capacity is full.
BE15B012,BT2022$inside,Course capacity is full.
BE15B012,HS1110$outside,Course capacity is full.
BE15B013,BT5440$inside,Slot Clash with core course HS4571
BE15B013,BT5440$outside,Slot Clash with core course HS4571
BE15B014,BT2022$inside,Course capacity is full.
BE15B015,BT2022$inside,Course capacity is full.
BE15B015,BT5330$outside,Already allotted to inside department version of the course
BE15B018,BT2022$inside,Course capacity is full.
BE15B021,BT2022$inside,Course capacity is full.
BE15B023,BT2022$inside,Course capacity is full.
BE15B023,HS1110$outside,Slot Clash with already allotted elective course CH5019
BE15B023,BT5330$inside,Slot Clash with already allotted elective course CH5019
BE15B023,BT5330$outside,Slot Clash with already allotted elective course CH5019
BE15B026,BT2022$inside,Course capacity is full.
BE15B029,BT3040$outside,Already allotted to inside department version of the course
BE15B032,BT5440$outside,Already allotted to inside department version of the course
BE16B001,HS1110$inside,Course capacity is full.
BE16B001,HS1110$outside,Course capacity is full.
BE16B003,HS3280$outside,Slot Clash with already allotted elective course HS3280A
BE16B003,HS3090$outside,Slot Clash with already allotted elective course HS3280A
BE16B003,HS4210$outside,Slot Clash with already allotted elective course HS3280A
BE16B003,HS2370$outside,Slot Clash with already allotted elective course HS3280A
BE16B005,BT2082$outside,Already allotted to inside department version of the course
BE16B005,BT4230$inside,Slot Clash with already allotted elective course BT2082
