Course ID,Number of Rejections,Course Capacity,Number of Rejections / Capacity
CE5280$inside,0,30,0.0
CE5280$outside,0,30,0.0
CE5337$inside,0,30,0.0
CE5337$outside,0,30,0.0
CE5338$inside,0,30,0.0
CE5338$outside,0,30,0.0
CE5500$inside,0,30,0.0
CE5500$outside,0,30,0.0
CE5670$inside,0,10,0.0
CE5670$outside,0,0,0.0
CE5800$inside,0,50,0.0
CE5800$outside,0,10,0.0
CE5850$inside,0,50,0.0
CE5850$outside,0,10,0.0
CH5019$inside,0,20,0.0
CH5019$outside,0,20,0.0
CH5024$inside,0,30,0.0
CH5024$outside,0,10,0.0
ED1092$inside,0,0,0.0
ED1092$outside,0,20,0.0
ED5012$inside,7,0,0.0
ED5012$outside,0,20,0.0
ED5018$inside,0,0,0.0
ED5018$outside,0,40,0.0
ED5316$inside,0,15,0.0
ED5316$outside,0,5,0.0
EE5155$inside,0,40,0.0
EE5155$outside,0,20,0.0
EE6022$inside,0,40,0.0
EE6022$outside,0,20,0.0
HS2370A$inside,0,0,0.0
HS2370A$outside,0,50,0.0
HS3029$inside,0,0,0.0
HS3029$outside,0,45,0.0
HS3280A$inside,0,0,0.0
HS3280A$outside,0,50,0.0
ME6225$inside,0,20,0.0
ME6225$outside,0,20,0.0
ME6230$inside,0,20,0.0
ME6230$outside,0,20,0.0
ME6999$inside,0,120,0.0
ME6999$outside,0,0,0.0
MM5020$inside,0,30,0.0
MM5020$outside,0,20,0.0
OE5011$inside,0,20,0.0
OE5011$outside,0,15,0.0
PH5811$inside,0,0,0.0
PH5811$outside,0,15,0.0
AM1100$inside,0,30,0.0
AM1100$outside,0,0,0.0
AM5199$inside,0,20,0.0
AM5199$outside,0,0,0.0
AS1300$inside,0,0,0.0
AS1300$outside,0,8,0.0
AS2030$inside,0,0,0.0
AS2030$outside,0,7,0.0
AS2050$inside,0,0,0.0
AS2050$outside,0,8,0.0
AS2070slotE$inside,0,0,0.0
AS2070slotE$outside,0,8,0.0
AS2070slotF$inside,0,0,0.0
AS2070slotF$outside,0,8,0.0
AS2080$inside,0,0,0.0
AS2080$outside,0,8,0.0
AS2510$inside,0,8,0.0
AS2510$outside,0,0,0.0
AS3050$inside,0,0,0.0
AS3050$outside,0,0,0.0
AS3271$inside,0,0,0.0
AS3271$outside,0,8,0.0
AS3520$inside,0,8,0.0
AS3520$outside,0,0,0.0
