Rollno,CGPA,Max Credits
AE15B001,6.4,63
AE15B002,6.07,63
AE15B003,5.93,63
AE15B004,9.47,63
AE15B005,5.8,63
AE15B006,9.16,72
AE15B007,3.47,63
AE15B008,8.56,63
AE15B009,9.54,63
AE15B010,8.35,63
AE15B011,6.05,63
AE15B012,8.21,63
AE15B013,4.64,63
AE15B014,8.58,63
AE15B015,4.46,63
AE15B016,7.25,63
AE15B017,4,63
AE15B018,5.02,63
AE15B019,7.55,63
AE15B020,7.27,63
AE15B021,7.19,63
AE15B022,8.71,63
AE15B023,8.57,63
AE15B024,9.91,63
AE15B025,3.75,63
AE15B026,8.32,63
AE15B027,10,63
AE15B028,5.59,63
AE15B029,7.64,63
AE15B030,8.47,63
AE15B031,8.91,72
AE15B032,7.24,63
AE15B033,8,63
AE15B034,4,63
AE15B035,8.9,72
AE15B036,8.85,63
AE15B037,8.26,63
AE15B038,7.15,63
AE15B039,7.5,63
AE15B040,8.99,63
AE15B041,9.63,63
AE15B042,5.55,63
AE15B043,8.67,63
AE15B044,7.25,63
AE15B045,9.18,63
AE15B046,6.18,63
AE15B047,9.06,63
AE15B048,8.63,63
AE15B049,2.24,63
AE15B050,6.98,63
AE15B051,8.39,63
AE15B052,2.06,63
AE15B053,7.58,63
AE15B054,7.91,63
AE15B055,6,63
AE15B056,8.57,63
AE15B057,9,63
AE15B058,7.95,63
AE15B059,7.96,63
AE16B001,7.61,63
AE16B002,2.4,63
AE16B003,7.21,63
AE16B004,7.5,63
AE16B005,9.02,63
AE16B006,6,63
AE16B007,4.87,63
AE16B008,6.66,63
AE16B009,5.29,63
AE16B010,7.76,63
AE16B011,8.48,63
AE16B012,2.98,63
AE16B013,7.72,63
AE16B014,3.63,63
AE16B015,7.56,63
AE16B016,7.93,63
AE16B017,7.69,63
AE16B018,8.29,63
AE16B019,9.25,63
AE16B020,8.04,63
AE16B021,8.19,63
AE16B022,5.83,63
AE16B023,3.07,63
AE16B024,5.44,63
AE16B025,7.76,63
AE16B026,7.41,63
AE16B027,9.41,63
AE16B028,4.55,63
AE16B029,8.6,63
AE16B030,8.71,63
AE16B031,8.37,63
