Student Roll Number, Course ID 
AE15B001,AS5212
AE15B001,AS3050
AE15B001,CS1200
AE15B003,AS5211
AE15B005,AS5211
AE15B006,AS5212
AE15B006,AS5540
AE15B006,AS5670
AE15B007,AS5211
AE15B008,AS5540
AE15B008,AS5213
AE15B009,AS5213
AE15B009,AS5460
AE15B010,AS6060
AE15B010,AS5213
AE15B011,AS5213
AE15B011,AS5540
AE15B012,AS3050
AE15B012,MA2040
AE15B013,AS6010
AE15B014,AS5213
AE15B014,AS3050
AE15B014,AS5540
AE15B015,AS5213
AE15B016,AS5213
AE15B016,BT3041
AE15B018,MA2040
AE15B019,AS6320
AE15B019,AS5435
AE15B020,AS5213
AE15B020,AS5850
AE15B021,AS5213
AE15B021,BT3041
AE15B022,AS5213
AE15B022,AS5540
AE15B023,AS5213
AE15B023,AS5540
AE15B026,AS5212
AE15B026,AS5540
AE15B026,AS6060
AE15B029,AS5212
AE15B029,AS6010
AE15B030,AS5213
AE15B030,AS5850
AE15B030,AS5990
AE15B031,AS3050
AE15B031,AS5540
AE15B032,AS5212
AE15B032,BT3041
AE15B033,AS5212
AE15B033,AS6060
AE15B035,AS6060
AE15B035,AS5213
AE15B035,AS5460
AE15B036,AS5540
AE15B036,AS5212
AE15B037,AS3050
AE15B037,AS5213
AE15B037,AS5400
AE15B037,AS5670
AE15B038,BT3041
AE15B038,AS5212
AE15B039,AS5213
AE15B039,CH5440
AE15B039,AS5540
AE15B040,EE5351
AE15B040,AS5213
AE15B040,CH5440
AE15B042,AS5212
AE15B043,AS5213
AE15B043,AS6060
AE15B045,AS5212
AE15B045,BT3041
AE15B045,MA2040
AE15B046,AS5213
AE15B046,MA2040
AE15B050,MA2040
AE15B051,AS5213
AE15B051,CS6700
AE15B051,CS6370
AE15B053,MA2040
AE15B053,AS5213
AE15B055,AS5213
AE15B056,AS5213
AE15B056,MA2040
AE15B058,AS5540
AE15B058,AS5710
AE15B058,MA2040
AE15B058,MS3540
AE15B059,AS5213
AE15B059,AS6010
BE15B005,BT6310
BE15B005,BT5440
BE15B005,BT3040
BE15B006,BT5410
BE15B006,BT5330
BE15B006,BT3040
BE15B007,BT3040
BE15B007,BT5440
BE15B008,BT5041
BE15B009,BT5410
BE15B009,BT5330
BE15B011,BT5041
BE15B011,MA2040
BE15B011,MS3510+
BE15B012,CH5440
BE15B012,EE5351
BE15B013,BT3040
BE15B013,HS4571
BE15B014,BT3040
BE15B015,BT3040
BE15B015,MA2040
BE15B017,MA2040
BE15B017,BT3040
BE15B017,BT5440
BE15B018,BT5041
BE15B018,MA2040
BE15B018,BT3040
BE15B019,BT3040
BE15B019,MS3510+
BE15B019,BT5440
BE15B021,MA2040
BE15B021,BT3040
BE15B021,EE1100
BE15B022,EE5154
BE15B022,BT3040
BE15B022,EE2004
BE15B023,MA2040
BE15B023,CH5440
BE15B025,BT5041
BE15B025,MA2040
BE15B025,MS3510+
BE15B026,BT3040
BE15B026,GN6001
BE15B026,BT4230
BE15B026,BT5440
BE15B027,BT3040
BE15B027,EE2004
BE15B028,CH5180
BE15B028,BT3040
BE15B028,BT5440
BE15B029,BT5440
BE15B029,MA2040
BE15B030,HS4210
BE15B030,BT5410
BE15B030,BT4230
BE15B032,BT3040
BE15B032,BT6310
BE15B032,MS3510+
BE16B001,BT2082
