Student Roll Number, Preference with zero capacity
AE15B001,AS5212$outside
AE15B001,AS3050$inside
AE15B003,AS5211$outside
AE15B005,AS5211$outside
AE15B006,AS5212$outside
AE15B007,AS5211$outside
AE15B008,AS5213$outside
AE15B009,AS5213$outside
AE15B010,AS5213$outside
AE15B011,AS5213$outside
AE15B012,AS3050$inside
AE15B013,AS5213$outside
AE15B014,AS5213$outside
AE15B014,AS3050$inside
AE15B015,AS5213$outside
AE15B016,AS5213$outside
AE15B020,AS5213$outside
AE15B021,AS5213$outside
AE15B022,AS5213$outside
AE15B023,AS5213$outside
AE15B026,AS5212$outside
AE15B029,AS5212$outside
AE15B030,AS5213$outside
AE15B031,AS3050$inside
AE15B032,AS5212$outside
AE15B033,AS5212$outside
AE15B035,AS5213$outside
AE15B036,AS5212$outside
AE15B036,AS3050$inside
AE15B037,AS3050$inside
AE15B037,AS5213$outside
AE15B038,AS5212$outside
AE15B039,AS5213$outside
AE15B040,AS5213$outside
AE15B042,AS5212$outside
AE15B043,AS5213$outside
AE15B045,AS5212$outside
AE15B046,AS5213$outside
AE15B046,AS3050$inside
AE15B051,AS5213$outside
AE15B053,AS5213$outside
AE15B055,AS5213$outside
AE15B056,AS5213$outside
AE15B056,AS5211$outside
AE15B059,AS5213$outside
BE15B008,HS1090$outside
BE15B008,HS1110$outside
BE15B009,ED5060$outside
BE15B011,HS1090$outside
BE15B011,HS1110$outside
BE15B012,HS1090$outside
BE15B012,HS1110$outside
BE15B013,HS1090$outside
BE15B013,HS1110$outside
BE15B013,HS5930$outside
BE15B014,HS5930$outside
BE15B015,HS1090$outside
BE15B018,HS1090$outside
BE15B023,HS1110$outside
BE15B023,HS1090$outside
BE15B028,HS1110$outside
BE15B029,HS1090$outside
BE15B030,HS5930$outside
BE16B001,HS1110$outside
BE16B001,HS1090$outside
BE16B002,HS1110$outside
BE16B002,HS1090$outside
BE16B003,HS3002$outside
BE16B003,HS3002A$outside
BE16B003,HS3002B$outside
BE16B003,HS3002C$outside
BE16B003,HS3002D$outside
BE16B003,HS1090$outside
BE16B004,HS1090$outside
BE16B006,HS1090$outside
BE16B006,HS1110$outside
BE16B006,HS3002$outside
BE16B006,HS3002A$outside
BE16B006,HS3002B$outside
BE16B006,HS3002C$outside
BE16B007,HS3002A$outside
BE16B007,HS3002$outside
BE16B007,HS3002C$outside
BE16B007,HS3002D$outside
BE16B007,HS1090$outside
BE16B008,HS1090$outside
BE16B008,HS3002B$outside
BE16B008,HS1110$outside
BE16B010,HS1090$outside
BE16B011,HS3002$outside
BE16B011,HS3002A$outside
BE16B011,HS3002B$outside
BE16B011,HS3002C$outside
BE16B014,HS5920$outside
BE16B014,HS1090$outside
BE16B015,HS1090$outside
