Student Roll No,Course Number,Reason for Not allotting Preference
AE15B001,AS5212$outside,Already allotted to inside department version of the course
AE15B001,AS3050$inside,Course capacity is full.
AE15B002,AS5213$inside,Slot Clash with core course HS3050
AE15B002,AS5213$outside,Slot Clash with core course HS3050
AE15B003,AS5211$outside,Already allotted to inside department version of the course
AE15B005,AS5211$outside,Already allotted to inside department version of the course
AE15B006,AS5212$outside,Already allotted to inside department version of the course
AE15B006,AS5540$outside,Already allotted to inside department version of the course
AE15B006,AS5670$outside,Already allotted to inside department version of the course
AE15B007,AS5211$outside,Already allotted to inside department version of the course
AE15B008,AS5540$outside,Already allotted to inside department version of the course
AE15B008,AS5213$outside,Already allotted to inside department version of the course
AE15B009,AS5213$outside,Already allotted to inside department version of the course
AE15B009,AS5460$outside,Already allotted to inside department version of the course
AE15B010,AS6060$outside,Already allotted to inside department version of the course
AE15B010,AS5213$outside,Already allotted to inside department version of the course
AE15B011,AS5213$outside,Already allotted to inside department version of the course
AE15B011,AS5540$outside,Already allotted to inside department version of the course
AE15B012,AS5213$inside,Slot Clash with core course HS3050
AE15B012,AS5213$outside,Slot Clash with core course HS3050
AE15B012,AS3050$inside,Course capacity is full.
AE15B013,AS6010$outside,Already allotted to inside department version of the course
AE15B013,AS5213$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+AS2080(10 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and the following electives which have a higher preference got allotted : AS6010(9 credits)+ and AS5213 takes 12 credits which is greater than the remaining 8 elective credits.
AE15B013,AS5213$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+AS2080(10 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and the following electives which have a higher preference got allotted : AS6010(9 credits)+ and AS5213 takes 12 credits which is greater than the remaining 8 elective credits.
AE15B014,AS5213$outside,Already allotted to inside department version of the course
AE15B014,AS3050$inside,Course capacity is full.
AE15B014,AS5540$outside,Already allotted to inside department version of the course
AE15B015,AS5213$outside,Already allotted to inside department version of the course
AE15B016,AS5213$outside,Already allotted to inside department version of the course
AE15B018,AS5211$inside,Slot Clash with core course HS3050
AE15B018,AS5211$outside,Slot Clash with core course HS3050
AE15B019,AS5211$inside,Slot Clash with core course HS3050
AE15B019,AS5211$outside,Slot Clash with core course HS3050
AE15B019,AS6320$outside,Already allotted to inside department version of the course
AE15B019,AS5435$outside,Already allotted to inside department version of the course
AE15B020,AS5213$outside,Already allotted to inside department version of the course
AE15B020,AS5850$outside,Already allotted to inside department version of the course
AE15B021,AS5213$outside,Already allotted to inside department version of the course
AE15B022,AS5213$outside,Already allotted to inside department version of the course
AE15B022,AS5540$outside,Already allotted to inside department version of the course
AE15B023,AS5213$outside,Already allotted to inside department version of the course
AE15B023,AS5540$outside,Already allotted to inside department version of the course
AE15B025,AS5211$inside,For this student max credits in semester is 63 and Core courses registered are MA2020(9 credits)+AS2080(10 credits)+AS3520(5 credits)+BT1010(9 credits)+AS3271(10 credits)+AS3050(12 credits)+ and AS5211 takes 12 credits which is greater than the 8 remaining elective credits.
AE15B025,AS5211$outside,For this student max credits in semester is 63 and Core courses registered are MA2020(9 credits)+AS2080(10 credits)+AS3520(5 credits)+BT1010(9 credits)+AS3271(10 credits)+AS3050(12 credits)+ and AS5211 takes 12 credits which is greater than the 8 remaining elective credits.
AE15B026,AS5212$outside,Already allotted to inside department version of the course
AE15B026,AS5540$outside,Already allotted to inside department version of the course
AE15B026,AS6060$outside,Already allotted to inside department version of the course
AE15B029,AS5212$outside,Already allotted to inside department version of the course
AE15B029,AS6010$outside,Already allotted to inside department version of the course
AE15B030,AS5213$outside,Already allotted to inside department version of the course
AE15B030,AS5850$outside,Already allotted to inside department version of the course
AE15B030,AS5990$outside,Already allotted to inside department version of the course
AE15B031,AS5211$inside,Slot Clash with core course HS3050
AE15B031,AS5211$outside,Slot Clash with core course HS3050
AE15B031,AS3050$inside,Course capacity is full.
AE15B031,AS5540$outside,Already allotted to inside department version of the course
AE15B032,AS5212$outside,Already allotted to inside department version of the course
AE15B033,AS5212$outside,Already allotted to inside department version of the course
AE15B033,AS6060$outside,Already allotted to inside department version of the course
AE15B035,AS6060$outside,Already allotted to inside department version of the course
AE15B035,AS5213$outside,Already allotted to inside department version of the course
AE15B035,AS5460$outside,Already allotted to inside department version of the course
AE15B036,AS5540$outside,Already allotted to inside department version of the course
AE15B036,AS5212$outside,Already allotted to inside department version of the course
AE15B036,AS3050$inside,Course capacity is full.
AE15B036,AS3050$outside,Course capacity is full.
AE15B037,AS3050$inside,Course capacity is full.
AE15B037,AS5213$outside,Already allotted to inside department version of the course
AE15B037,AS5400$outside,Already allotted to inside department version of the course
AE15B037,AS5670$outside,Already allotted to inside department version of the course
AE15B037,AS6060$inside,Slot Clash with already allotted elective course AS5670
AE15B037,AS6060$outside,Slot Clash with already allotted elective course AS5670
AE15B037,CS6560$outside,For this student max credits in semester is 63 and Core courses registered are AS3520(5 credits)+AS3271(10 credits)+ and the following electives which have a higher preference got allotted : AS3050(12 credits)+AS5213(12 credits)+AS5400(9 credits)+AS5670(9 credits)+ and CS6560 takes 12 credits which is greater than the remaining 6 elective credits.
AE15B038,AS5212$outside,Already allotted to inside department version of the course
AE15B039,AS5213$outside,Already allotted to inside department version of the course
AE15B039,AS5540$outside,Already allotted to inside department version of the course
AE15B040,AS5213$outside,Already allotted to inside department version of the course
AE15B042,AS5212$outside,Already allotted to inside department version of the course
AE15B043,AS5213$outside,Already allotted to inside department version of the course
AE15B043,AS6060$outside,Already allotted to inside department version of the course
AE15B044,EP3120$outside,For this student max credits in semester is 63 and Core courses registered are MA2020(9 credits)+AS2080(10 credits)+BT1010(9 credits)+HS3050(0 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and EP3120 takes 9 credits which is greater than the 8 remaining elective credits.
AE15B044,EP3220$outside,For this student max credits in semester is 63 and Core courses registered are MA2020(9 credits)+AS2080(10 credits)+BT1010(9 credits)+HS3050(0 credits)+AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and EP3220 takes 9 credits which is greater than the 8 remaining elective credits.
AE15B044,AS5212$inside,Slot Clash with core course HS3050
AE15B044,AS5212$outside,Slot Clash with core course HS3050
AE15B045,EE4371$outside,Slot Clash with core course AS3050
AE15B045,AS5212$outside,Already allotted to inside department version of the course
AE15B046,AS5213$outside,Already allotted to inside department version of the course
AE15B046,AS3050$inside,Course capacity is full.
AE15B046,AS3050$outside,Course capacity is full.
AE15B050,AS5212$inside,Slot Clash with core course HS3050
AE15B050,AS5212$outside,Slot Clash with core course HS3050
AE15B051,AS5213$outside,Already allotted to inside department version of the course
AE15B051,ID4100$outside,For this student max credits in semester is 63 and Core courses registered are AS3520(5 credits)+AS3271(10 credits)+AS3050(12 credits)+ and the following electives which have a higher preference got allotted : AS5213(12 credits)+CS6700(12 credits)+CS6370(12 credits)+ and ID4100 takes 9 credits which is greater than the remaining 0 elective credits.
AE15B053,AS5213$outside,Already allotted to inside department version of the course
AE15B055,AS5213$outside,Already allotted to inside department version of the course
AE15B056,AS5213$outside,Already allotted to inside department version of the course
AE15B056,AS5211$inside,Slot Clash with already allotted elective course AS5213
AE15B056,AS5211$outside,Slot Clash with already allotted elective course AS5213
AE15B058,AS5213$inside,Slot Clash with core course HS3050
AE15B058,AS5213$outside,Slot Clash with core course HS3050
AE15B058,AS5540$outside,Already allotted to inside department version of the course
AE15B058,AS5710$outside,Already allotted to inside department version of the course
AE15B059,AS5213$outside,Already allotted to inside department version of the course
AE15B059,AS6010$outside,Already allotted to inside department version of the course
AE15B059,AS5540$inside,Colour code Clash with already allotted elective course AS6010
AE15B059,AS5540$outside,Colour code Clash with already allotted elective course AS6010
AE15B059,AS6060$inside,Colour code Clash with already allotted elective course AS6010
AE15B059,AS6060$outside,Colour code Clash with already allotted elective course AS6010
AE16B011,HS1110$outside,For this student max credits in semester is 63 and Core courses registered are AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotE(10 credits)+ and HS1110 takes 9 credits which is greater than the 7 remaining elective credits.
AE16B013,HS1110$outside,For this student max credits in semester is 63 and Core courses registered are AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotE(10 credits)+ and HS1110 takes 9 credits which is greater than the 7 remaining elective credits.
AE16B014,EE1100$outside,For this student max credits in semester is 63 and Core courses registered are GN1102(0 credits)+AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotF(10 credits)+ and EE1100 takes 10 credits which is greater than the 7 remaining elective credits.
AE16B017,CS7015$outside,For this student max credits in semester is 63 and Core courses registered are AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotF(10 credits)+ and CS7015 takes 12 credits which is greater than the 7 remaining elective credits.
AE16B045,EE1101$outside,For this student max credits in semester is 63 and Core courses registered are AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotF(10 credits)+ and EE1101 takes 10 credits which is greater than the 7 remaining elective credits.
AE16B046,EE1100$outside,For this student max credits in semester is 63 and Core courses registered are AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotF(10 credits)+ and EE1100 takes 10 credits which is greater than the 7 remaining elective credits.
AE16B104,EE1100$outside,For this student max credits in semester is 63 and Core courses registered are AS2030(11 credits)+AS2050(11 credits)+MA2020(9 credits)+AS2080(10 credits)+AS2510(5 credits)+AS2070slotF(10 credits)+ and EE1100 takes 10 credits which is greater than the 7 remaining elective credits.
BE15B005,BT6310$outside,Already allotted to inside department version of the course
BE15B005,BT5440$outside,Already allotted to inside department version of the course
BE15B005,BT3040$outside,Already allotted to inside department version of the course
BE15B005,BT5320$inside,Slot Clash with already allotted elective course BT6310
BE15B005,BT5320$outside,Slot Clash with already allotted elective course BT6310
BE15B006,BT5410$outside,Already allotted to inside department version of the course
BE15B006,BT5330$outside,Already allotted to inside department version of the course
BE15B006,BT3040$outside,Already allotted to inside department version of the course
BE15B007,BT3040$outside,Already allotted to inside department version of the course
BE15B007,MS3510$outside,Course capacity is full.
BE15B007,BT5440$outside,Already allotted to inside department version of the course
BE15B008,BT5041$outside,Already allotted to inside department version of the course
BE15B008,HS1090$outside,Course capacity is full.
BE15B008,HS1110$outside,Course capacity is full.
BE15B008,HS4571$outside,Course capacity is full.
BE15B008,MS3510$outside,Course capacity is full.
BE15B008,MS3510+$outside,Course capacity is full.
BE15B008,MA2031$outside,Course capacity is full.
BE15B009,ED5318$outside,Slot Clash with core course BT3110
BE15B009,ED5060$outside,Course capacity is full.
BE15B009,BT5410$outside,Already allotted to inside department version of the course
BE15B009,BT5330$outside,Already allotted to inside department version of the course
BE15B009,BT4260$inside,Slot Clash with already allotted elective course BT5330
BE15B009,BT4260$outside,Slot Clash with already allotted elective course BT5330
BE15B011,BT5041$outside,Already allotted to inside department version of the course
BE15B011,MS3510$outside,Course capacity is full.
BE15B011,HS1090$outside,Course capacity is full.
BE15B011,HS1110$outside,Course capacity is full.
BE15B011,HS4571$outside,Course capacity is full.
BE15B012,HS1090$outside,Course capacity is full.
BE15B012,HS1110$outside,Course capacity is full.
