Course,Department&Year (REMEMBER : INCLUDE 'EP' IN 'PH' AND 'EE' COURSES. INCLUDE 'NA' IN 'OE' COURSES. INCLUDE 'BE','BS' IN 'BT' COURSES,,
EP2102,EP15,EP16,EP17,
EP3100,EP15,EP16,EP17,
EP3120,EP15,EP16,EP17,
EP3190,EP15,EP16,EP17,
EP3220,EP15,EP16,EP17,
EP3291,EP15,EP16,EP17,
EP4040,EP15,EP16,EP17,
PH2070,EP15,EP16,EP17,
PH2080,EP15,EP16,EP17,
PH3520,EP15,EP16,EP17,
PH5020,EP15,EP16,EP17,
PH5080,EP15,EP16,EP17,
PH5120,EP15,EP16,EP17,
PH5160,EP15,EP16,EP17,
PH5170,EP15,EP16,EP17,
PH5480,EP15,EP16,EP17,
PH5500,EP15,EP16,EP17,
PH5620,EP15,EP16,EP17,
PH5680,EP15,EP16,EP17,
PH5720,EP15,EP16,EP17,
PH5810,EP15,EP16,EP17,
PH5813,EP15,EP16,EP17,
PH5870,EP15,EP16,EP17,
PH5890,EP15,EP16,EP17,
PH6011,EP15,EP16,EP17,
OE1012,NA15,NA16,NA17,
OE2014,NA15,NA16,NA17,
OE2024,NA15,NA16,NA17,
OE2034,NA15,NA16,NA17,
OE2044,NA15,NA16,NA17,
OE3020,NA15,NA16,NA17,
OE4600,NA15,NA16,NA17,
OE5170,NA15,NA16,NA17,
OE5320,NA15,NA16,NA17,
OE5450,NA15,NA16,NA17,
OE5500,NA15,NA16,NA17,
OE5800,NA15,NA16,NA17,
OE6001,NA15,NA16,NA17,
OE6005,NA15,NA16,NA17,
BT1010,BS15,BS16,BE15,BE16
BT1020,BS15,BS16,BE15,BE16
BT2020,BS15,BS16,BE15,BE16
BT2022,BS15,BS16,BE15,BE16
BT2041,BS15,BS16,BE15,BE16
BT2042,BS15,BS16,BE15,BE16
BT2061,BS15,BS16,BE15,BE16
BT2082,BS15,BS16,BE15,BE16
BT2122,BS15,BS16,BE15,BE16
BT3020,BS15,BS16,BE15,BE16
BT3022,BS15,BS16,BE15,BE16
BT3040,BS15,BS16,BE15,BE16
BT3041,BS15,BS16,BE15,BE16
BT3110,BS15,BS16,BE15,BE16
BT3122,BS15,BS16,BE15,BE16
BT4230,BS15,BS16,BE15,BE16
BT4240,BS15,BS16,BE15,BE16
BT4260,BS15,BS16,BE15,BE16
BT5041,BS15,BS16,BE15,BE16
BT5240,BS15,BS16,BE15,BE16
BT5320,BS15,BS16,BE15,BE16
BT5330,BS15,BS16,BE15,BE16
BT5390,BS15,BS16,BE15,BE16
BT5410,BS15,BS16,BE15,BE16
BT5440,BS15,BS16,BE15,BE16
BT6310,BS15,BS16,BE15,BE16
ID5030,ME15,ME16,ME17,
EE1100,EP15,EP16,EP17,
EE1101,EP15,EP16,EP17,
EE2001,EP15,EP16,EP17,
EE2004,EP15,EP16,EP17,
EE2005,EP15,EP16,EP17,
EE2019,EP15,EP16,EP17,
EE2703,EP15,EP16,EP17,
EE3001,EP15,EP16,EP17,
EE3007,EP15,EP16,EP17,
EE3020,EP15,EP16,EP17,
EE3110,EP15,EP16,EP17,
EE3203,EP15,EP16,EP17,
EE3402,EP15,EP16,EP17,
EE4131,EP15,EP16,EP17,
EE4371,EP15,EP16,EP17,
EE5111,EP15,EP16,EP17,
EE5112,EP15,EP16,EP17,
EE5121,EP15,EP16,EP17,
EE5141,EP15,EP16,EP17,
EE5154,EP15,EP16,EP17,
EE5160,EP15,EP16,EP17,
EE5175,EP15,EP16,EP17,
EE5254,EP15,EP16,EP17,
EE5320,EP15,EP16,EP17,
EE5340,EP15,EP16,EP17,
EE5341,EP15,EP16,EP17,
EE5342,EP15,EP16,EP17,
EE5343,EP15,EP16,EP17,
EE5351,EP15,EP16,EP17,
EE5504,EP15,EP16,EP17,
EE6143,EP15,EP16,EP17,
EE6150,EP15,EP16,EP17,
EE6262,EP15,EP16,EP17,
EE6320,EP15,EP16,EP17,
EE6321,EP15,EP16,EP17,
EE6346,EP15,EP16,EP17,
EE6402,EP15,EP16,EP17,
EE6403,EP15,EP16,EP17,
EE6415,EP15,EP16,EP17,
EE6418,EP15,EP16,EP17,
EE6419,EP15,EP16,EP17,
EE6430,EP15,EP16,EP17,
EE6505,EP15,EP16,EP17,
EE6506,EP15,EP16,EP17,
HS1090,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS1110,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002A,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002B,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002C,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS3002D,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS5920,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS5930,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
HS4571,EE17,ME17,NA17,PH17,CH16,CE16,ME16,MM16,BE16,PH16,CE15
MA2031,ME16,MM16,NA16,PH16,,,,,,
MA2040,ME16,MM16,NA16,PH16,,,,,,
MA2020,ME16,MM16,NA16,PH16,,,,,,
MA2030,ME16,MM16,NA16,PH16,,,,,,
