RollNo,CourseNo,ColorGroup,Type,SortOrder
AE15B001,BT1010,NULL,CORE,NULL
AE15B001,AS3520,NULL,CORE,NULL
AE15B001,AS3271,NULL,CORE,NULL
AE15B001,AS5212,0,ELEC,1
AE15B001,AS3050,0,ELEC,2
AE15B001,CS1200,0,ELEC,3
AE15B002,AS2070slotF,NULL,BACKLOG,NULL
AE15B002,AS2030,NULL,BACKLOG,NULL
AE15B002,MA2020,NULL,BACKLOG,NULL
AE15B002,AS2080,NULL,BACKLOG,NULL
AE15B002,AS3520,NULL,CORE,NULL
AE15B002,HS3050,NULL,CORE,NULL
AE15B002,AS3050,NULL,CORE,NULL
AE15B002,AS5213,0,ELEC,1
AE15B003,MA2020,NULL,BACKLOG,NULL
AE15B003,AS2080,NULL,BACKLOG,NULL
AE15B003,AS3520,NULL,CORE,NULL
AE15B003,AS3271,NULL,CORE,NULL
AE15B003,AS3050,NULL,CORE,NULL
AE15B003,AS5211,0,ELEC,1
AE15B005,AS2080,NULL,BACKLOG,NULL
AE15B005,BT1010,NULL,CORE,NULL
AE15B005,AS3520,NULL,CORE,NULL
AE15B005,AS3271,NULL,CORE,NULL
AE15B005,AS3050,NULL,CORE,NULL
AE15B005,AS5211,0,ELEC,1
AE15B006,BT1010,NULL,CORE,NULL
AE15B006,AS3271,NULL,CORE,NULL
AE15B006,AS3050,NULL,CORE,NULL
AE15B006,AS3520,NULL,CORE,NULL
AE15B006,AS5212,0,ELEC,1
AE15B006,AS5540,0,ELEC,2
AE15B006,AS5670,0,ELEC,3
AE15B007,AS2030,NULL,BACKLOG,NULL
AE15B007,AS3520,NULL,CORE,NULL
AE15B007,AS3271,NULL,CORE,NULL
AE15B007,AS3050,NULL,CORE,NULL
AE15B007,AS5211,0,ELEC,1
AE15B008,BT1010,NULL,CORE,NULL
AE15B008,AS3271,NULL,CORE,NULL
AE15B008,AS3050,NULL,CORE,NULL
AE15B008,AS3520,NULL,CORE,NULL
AE15B008,AS5540,1,ELEC,1
AE15B008,AS5213,2,ELEC,2
AE15B009,BT1010,NULL,CORE,NULL
AE15B009,AS3520,NULL,CORE,NULL
AE15B009,AS3271,NULL,CORE,NULL
AE15B009,AS3050,NULL,CORE,NULL
AE15B009,AS5213,0,ELEC,1
AE15B009,AS5460,0,ELEC,2
AE15B010,BT1010,NULL,CORE,NULL
AE15B010,AS3520,NULL,CORE,NULL
AE15B010,AS3271,NULL,CORE,NULL
AE15B010,AS3050,NULL,CORE,NULL
AE15B010,AS6060,0,ELEC,1
AE15B010,AS5213,0,ELEC,2
AE15B011,BT1010,NULL,CORE,NULL
AE15B011,AS3520,NULL,CORE,NULL
AE15B011,AS3271,NULL,CORE,NULL
AE15B011,AS3050,NULL,CORE,NULL
AE15B011,AS5213,0,ELEC,1
AE15B011,AS5540,0,ELEC,2
AE15B012,BT1010,NULL,CORE,NULL
AE15B012,HS3050,NULL,CORE,NULL
AE15B012,AS3520,NULL,CORE,NULL
AE15B012,AS3271,NULL,CORE,NULL
AE15B012,AS3050,0,ELEC,1
AE15B012,AS5213,0,ELEC,2
AE15B012,MA2040,0,ELEC,3
AE15B013,BT1010,NULL,CORE,NULL
AE15B013,AS2080,NULL,CORE,NULL
AE15B013,AS3520,NULL,CORE,NULL
AE15B013,AS3271,NULL,CORE,NULL
AE15B013,AS3050,NULL,CORE,NULL
AE15B013,AS6010,0,ELEC,1
AE15B013,AS5213,0,ELEC,2
AE15B014,AS3271,NULL,CORE,NULL
AE15B014,BT1010,NULL,CORE,NULL
AE15B014,AS3520,NULL,CORE,NULL
AE15B014,AS5213,1,ELEC,1
AE15B014,AS3050,2,ELEC,2
AE15B014,AS5540,3,ELEC,3
AE15B015,AS2030,NULL,BACKLOG,NULL
AE15B015,AS2080,NULL,BACKLOG,NULL
AE15B015,AS3520,NULL,CORE,NULL
AE15B015,AS3271,NULL,CORE,NULL
AE15B015,AS3050,NULL,CORE,NULL
AE15B015,AS5213,0,ELEC,1
AE15B016,BT1010,NULL,CORE,NULL
AE15B016,AS3520,NULL,CORE,NULL
AE15B016,AS3271,NULL,CORE,NULL
AE15B016,AS3050,NULL,CORE,NULL
AE15B016,AS5213,0,ELEC,1
AE15B016,BT3041,0,ELEC,2
AE15B017,AS2030,NULL,BACKLOG,NULL
AE15B017,MA2020,NULL,BACKLOG,NULL
AE15B017,AS2080,NULL,BACKLOG,NULL
AE15B017,AS3520,NULL,CORE,NULL
AE15B017,AS3271,NULL,CORE,NULL
AE15B017,AS3050,NULL,CORE,NULL
AE15B018,AS2080,NULL,BACKLOG,NULL
AE15B018,AS3520,NULL,CORE,NULL
AE15B018,BT1010,NULL,CORE,NULL
AE15B018,HS3050,NULL,CORE,NULL
AE15B018,AS3271,NULL,CORE,NULL
AE15B018,AS3050,NULL,CORE,NULL
AE15B018,AS5211,0,ELEC,1
AE15B018,MA2040,0,ELEC,2
AE15B019,AS3520,NULL,CORE,NULL
AE15B019,AS3271,NULL,CORE,NULL
AE15B019,AS3050,NULL,CORE,NULL
AE15B019,BT1010,NULL,CORE,NULL
AE15B019,HS3050,NULL,CORE,NULL
AE15B019,AS5211,0,ELEC,1
AE15B019,AS6320,0,ELEC,2
AE15B019,AS5435,0,ELEC,3
AE15B020,BT1010,NULL,CORE,NULL
AE15B020,AS3520,NULL,CORE,NULL
