Student Roll No,EffectiveAverageRank,creditSatisfactionRatio
AE15B001,2.0,0.47
AE15B002,2.0,0.9
AE15B003,0.75,0.95
AE15B005,1.0,0.47
AE15B006,0.75,0.95
AE15B007,2.0,1.0
AE15B008,1.0,0.47
AE15B009,0.75,0.95
AE15B010,0.75,0.95
AE15B011,1.0,0.47
AE15B012,0.75,0.95
AE15B013,2.0,0.47
AE15B014,0.75,0.95
AE15B015,1.0,1.0
AE15B016,2.0,0.47
AE15B019,0.75,0.95
AE15B020,1.0,0.47
AE15B021,2.0,0.47
AE15B022,0.75,0.95
AE15B023,0.75,0.95
AE15B025,0.0,0.0
AE15B026,0.75,0.95
AE15B029,0.75,0.95
AE15B030,0.75,0.95
AE15B031,0.75,0.95
AE15B032,2.0,0.47
AE15B033,0.75,0.95
AE15B035,0.75,0.95
AE15B036,0.75,0.95
AE15B037,0.75,0.95
AE15B038,1.0,0.47
AE15B039,0.75,0.95
AE15B040,0.75,0.95
AE15B042,2.0,0.47
AE15B043,0.75,0.95
AE15B044,0.0,0.0
AE15B045,0.75,0.95
AE15B046,1.0,0.47
AE15B050,1.0,0.47
AE15B051,1.0,0.47
AE15B053,0.75,0.95
AE15B055,1.0,0.47
AE15B056,0.75,0.95
AE15B058,1.0,0.47
AE15B059,1.0,0.95
AE16B001,4.0,0.47
AE16B002,4.0,0.47
AE16B003,3.0,0.47
AE16B004,1.0,0.47
AE16B005,2.0,0.47
AE16B006,1.0,0.47
AE16B007,0.0,0.0
AE16B008,4.0,0.47
AE16B009,2.0,0.47
AE16B010,3.0,0.47
AE16B011,0.0,0.0
AE16B012,0.0,0.0
AE16B013,0.0,0.0
AE16B014,1.0,0.47
AE16B015,1.0,0.47
AE16B016,0.0,0.0
AE16B017,5.0,0.47
AE16B018,1.0,0.47
AE16B019,3.0,0.47
AE16B020,3.0,0.47
AE16B021,1.0,0.47
AE16B022,3.0,0.47
AE16B023,5.0,1.0
AE16B024,2.0,0.47
AE16B026,2.0,0.47
