Student Roll Number, Preference with zero capacity
AE15B001,CS3700$outside
AE15B003,HS1090+$outside
AE15B007,HS1090+$outside
AE15B025,HS5920$outside
AE15B044,HS1090+$outside
AE15B046,HS3002$outside
AE16B001,HS1090+$outside
AE16B001,HS3002$outside
AE16B001,HS3002A$outside
AE16B001,HS3002B$outside
AE16B001,HS3002C$outside
AE16B002,HS1090+$outside
AE16B002,HS3002$outside
AE16B002,HS4006$outside
AE16B003,HS3002$outside
AE16B003,HS1090+$outside
AE16B004,HS4006$outside
AE16B005,HS3002$outside
AE16B005,HS3002A$outside
AE16B005,HS3002B$outside
AE16B005,HS3002C$outside
AE16B005,HS1090+$outside
AE16B006,HS3002$outside
AE16B006,HS3002A$outside
AE16B006,HS3002B$outside
AE16B006,HS3002C$outside
AE16B006,HS1090+$outside
AE16B007,HS1090+$outside
AE16B007,HS3002B$outside
AE16B008,HS1090+$outside
AE16B008,HS3002$outside
AE16B008,HS4006$outside
AE16B008,HS3002C$outside
AE16B009,HS3002$outside
AE16B009,HS3002A$outside
AE16B009,HS3002B$outside
AE16B009,HS3002C$outside
AE16B009,HS4006$outside
AE16B010,HS1090+$outside
AE16B010,HS3002A$outside
AE16B010,HS3002B$outside
AE16B010,HS3002$outside
AE16B010,HS3002C$outside
AE16B011,HS3002$outside
AE16B012,HS3002$outside
AE16B013,HS1090+$outside
AE16B014,HS5920$outside
AE16B014,HS3002$outside
AE16B015,HS3002$outside
AE16B016,HS1090+$outside
AE16B017,HS1090+$outside
AE16B017,HS3002$outside
AE16B017,HS3002A$outside
AE16B017,HS3002B$outside
AE16B017,HS3002C$outside
AE16B018,HS3002A$outside
AE16B018,HS4006$outside
AE16B019,HS3002$outside
AE16B019,HS3002A$outside
AE16B019,HS3002B$outside
AE16B019,HS3002C$outside
AE16B020,HS3002C$outside
AE16B020,HS3002B$outside
AE16B020,HS3002$outside
AE16B020,HS3002A$outside
AE16B020,HS4006$outside
AE16B021,HS4006$outside
AE16B021,HS1090+$outside
AE16B022,HS1090+$outside
AE16B022,HS3002$outside
AE16B022,HS5920$outside
AE16B022,HS3002A$outside
AE16B022,HS3002B$outside
AE16B022,HS3002C$outside
AE16B023,HS3002$outside
AE16B023,HS3002A$outside
AE16B023,HS3002B$outside
AE16B023,HS3002C$outside
AE16B023,HS1090+$outside
AE16B023,HS4006$outside
AE16B024,HS1090+$outside
AE16B024,HS3002$outside
AE16B024,HS4006$outside
AE16B024,HS5920$outside
AE16B026,HS1090+$outside
AE16B026,HS4006$outside
AE16B028,HS3002$outside
AE16B028,HS1090+$outside
AE16B028,HS4006$outside
AE16B029,HS3002A$outside
AE16B029,HS3002$outside
AE16B029,HS3002B$outside
AE16B029,HS3002C$outside
AE16B029,HS1090+$outside
AE16B029,HS4006$outside
AE16B029,HS5920$outside
AE16B030,HS1090+$outside
AE16B030,HS4006$outside
AE16B031,HS3002$outside
AE16B031,HS3002A$outside
AE16B031,HS3002B$outside
AE16B031,HS3002C$outside
AE16B031,HS4006$outside
AE16B032,HS1090+$outside
AE16B032,HS3002C$outside
AE16B032,HS3002B$outside
AE16B032,HS3002A$outside
AE16B034,HS1090+$outside
AE16B034,HS3002$outside
AE16B035,HS3002$outside
AE16B035,HS4006$outside
AE16B035,HS3002A$outside
AE16B035,HS3002B$outside
AE16B035,HS3002C$outside
AE16B036,HS3002$outside
AE16B036,HS3002A$outside
AE16B036,HS3002B$outside
AE16B036,HS3002C$outside
AE16B036,HS4006$outside
AE16B037,HS3002$outside
AE16B037,HS3002A$outside
AE16B037,HS3002B$outside
AE16B037,HS3002C$outside
AE16B037,HS1090+$outside
AE16B037,HS4006$outside
AE16B038,HS5920$outside
AE16B038,HS4006$outside
AE16B038,HS3002$outside
AE16B038,HS3002A$outside
AE16B038,HS3002B$outside
AE16B038,HS3002C$outside
AE16B038,HS1090+$outside
AE16B039,HS3002C$outside
AE16B039,HS3002B$outside
AE16B039,HS3002$outside
AE16B039,HS3002A$outside
AE16B040,HS3002$outside
AE16B040,HS4006$outside
AE16B040,HS1090+$outside
AE16B041,HS3002$outside
AE16B041,HS3002A$outside
AE16B041,HS3002B$outside
AE16B041,HS3002C$outside
AE16B041,HS4006$outside
AE16B042,HS3002C$outside
AE16B042,HS3002A$outside
AE16B042,HS3002$outside
AE16B042,HS3002B$outside
AE16B042,HS1090+$outside
AE16B043,HS1090+$outside
AE16B043,HS3002A$outside
AE16B043,HS3002B$outside
AE16B043,HS3002$outside
AE16B043,HS3002C$outside
