Rollno,CGPA,Max Credits
AE15B001,6.4,80
AE15B002,5.87,60
AE15B003,5.74,60
AE15B004,9.47,0
AE15B005,5.8,60
AE15B006,9.16,60
AE15B007,3.23,60
AE15B008,8.56,60
AE15B009,9.54,60
AE15B010,8.35,60
AE15B011,6.05,60
AE15B012,8.21,60
AE15B013,4.63,60
AE15B014,8.58,60
AE15B015,4.28,60
AE15B016,7.24,60
AE15B017,3.99,0
AE15B018,5.01,0
AE15B019,7.54,60
AE15B020,7.27,60
AE15B021,7.18,60
AE15B022,8.71,60
AE15B023,8.57,60
AE15B024,9.91,0
AE15B025,3.75,60
AE15B026,8.32,60
AE15B027,10,0
AE15B028,5.59,0
AE15B029,7.64,60
AE15B030,8.47,60
AE15B031,8.91,60
AE15B032,7.24,60
AE15B033,8,60
AE15B034,4,0
AE15B035,8.9,60
AE15B036,8.85,60
AE15B037,8.26,60
AE15B038,7.15,60
AE15B039,7.5,60
AE15B040,8.99,60
AE15B041,9.63,0
AE15B042,5.17,60
AE15B043,8.67,60
AE15B044,7.24,60
AE15B045,9.18,60
AE15B046,6.18,60
AE15B047,9.06,0
AE15B048,8.63,0
AE15B049,0,0
AE15B050,6.98,60
AE15B051,8.39,60
AE15B052,2.14,0
AE15B053,7.58,60
AE15B054,7.91,0
AE15B055,6,60
AE15B056,8.57,60
AE15B057,9,0
AE15B058,7.95,60
AE15B059,7.96,60
AE16B001,7.61,60
AE16B002,2.28,60
AE16B003,7.21,60
AE16B004,7.5,60
AE16B005,9.02,60
AE16B006,6.02,60
AE16B007,4.44,60
AE16B008,6.69,60
AE16B009,5.3,60
AE16B010,7.76,60
AE16B011,8.48,60
AE16B012,2.55,60
AE16B013,7.72,60
AE16B014,3.18,60
AE16B015,7.56,60
AE16B016,7.94,60
AE16B017,7.69,60
AE16B018,8.29,60
AE16B019,9.25,60
AE16B020,8.04,60
AE16B021,8.19,60
AE16B022,5.85,60
AE16B023,2.72,60
AE16B024,5.11,60
AE16B025,7.75,0
AE16B026,7.41,60
AE16B027,9.41,0
AE16B028,4.97,60
AE16B029,8.6,60
AE16B030,8.71,60
AE16B031,8.37,60
AE16B032,7.62,60
AE16B033,9.41,0
AE16B034,7.91,60
AE16B035,7.5,60
AE16B036,4.11,60
AE16B037,7.35,60
AE16B038,7.12,60
AE16B039,9.35,60
AE16B040,8.35,60
AE16B041,7.49,60
AE16B042,4.84,60
AE16B043,6.01,60
AE16B044,8.35,60
AE16B045,5.32,60
AE16B046,8.48,0
AE16B102,8.64,60
AE16B103,8.18,60
AE16B104,3.1,60
AE16B105,5.7,60
AE16B106,7.87,60
AE16B107,7.09,60
AE16B108,7.79,60
AE16B109,7.52,60
AE16B110,6.64,60
AE16B111,5.14,60
AE16B112,7.69,60
AE16B113,8.16,60
AE16B114,8.6,60
AE16B115,7.98,60
AE98016,7.04,0
BE15B001,8.25,0
BE15B003,7.04,0
BE15B004,9,60
BE15B005,7.23,60
BE15B006,6.4,60
BE15B007,5.93,60
BE15B008,6.45,60
BE15B009,5.33,60
BE15B010,9.08,0
BE15B011,8.15,60
BE15B012,6.79,60
BE15B013,7.84,60
BE15B014,5.25,60
BE15B015,6.56,60
BE15B016,6.75,0
BE15B017,7.63,60
BE15B018,8.12,60
BE15B019,6.87,60
BE15B021,5.67,60
BE15B022,8.18,60
BE15B023,7.68,60
BE15B024,8.29,0
BE15B025,8.16,60
BE15B026,7.55,60
BE15B027,8.6,60
BE15B028,8.9,60
BE15B029,7.74,60
BE15B030,5.81,60
BE15B031,1.56,0
BE15B032,8.81,60
BE16B001,8.26,60
BE16B002,7.97,60
BE16B003,7.68,60
BE16B004,5.68,60
BE16B005,3.26,60
BE16B006,9.35,60
BE16B007,8.13,60
BE16B008,9.35,60
BE16B009,4.72,60
BE16B010,7.67,60
BE16B011,8.37,60
BE16B012,3.06,0
BE16B013,8.25,0
BE16B014,7.84,60
BE16B015,7.88,60
BE16B016,8.54,60
BE16B017,7.56,60
BE16B018,2.28,60
BE16B019,2.52,60
BE16B020,5.1,60
BE16B021,4.77,60
BE16B022,4.91,60
BE16B023,4.33,60
BE16B024,9.16,0
BE16B025,3.47,60
BE16B026,8.42,96
BE16B027,8.85,0
BE16B028,8.87,0
BE16B029,6.98,60
BE16B030,3.03,60
BE16B031,7.04,60
BE16B032,9.09,0
BE16B033,2.59,60
BE16B034,6.67,60
BE16B035,8.05,60
BE16B036,8.17,60
BS15B001,5.78,60
BS15B002,6.37,60
BS15B003,6.89,0
BS15B004,6.52,0
BS15B005,8.06,60
BS15B006,7.73,60
BS15B007,5.86,60
BS15B008,6.37,60
BS15B009,8.21,0
BS15B010,8.77,60
BS15B011,7.11,60
BS15B012,7.91,60
BS15B013,6.62,60
BS15B014,4.88,60
BS15B016,8.5,0
BS15B017,6.4,60
BS15B018,3.04,0
BS15B019,9.46,0
BS15B020,6.35,60
BS15B021,3.88,60
BS15B022,7.71,60
BS15B023,4.62,60
BS15B024,7.68,60
BS15B025,5.61,60
BS15B027,4.7,60
BS15B028,8.78,60
BS15B030,0,0
BS15B032,2.85,0
BS16B001,8.44,60
BS16B003,4.46,60
BS16B004,2.08,0
BS16B005,8.25,60
BS16B006,4.95,60
BS16B007,8.12,60
BS16B008,5.8,60
BS16B010,5.29,0
BS16B013,6.53,60
BS16B014,7.57,60
BS16B015,1.95,60
BS16B016,6.67,60
BS16B017,6.98,60
BS16B018,6.14,60
BS16B019,6.72,60
BS16B021,9.21,0
BS16B022,6.64,60
BS16B023,5.67,60
BS16B024,6.14,60
BS16B025,8.8,0
BS16B026,3.84,60
BS16B028,5.18,60
BS16B029,4.5,60
BS16B030,5.92,60
BS16B031,7.26,60
BS16B032,7.67,60
CE15B001,7.99,60
CE15B002,6.93,60
CE15B003,5.43,60
CE15B004,7.44,60
CE15B005,7.67,60
CE15B006,7.4,60
CE15B007,8.55,60
CE15B008,5,0
CE15B009,6.5,0
CE15B010,4.98,0
CE15B011,8.48,60
CE15B012,4.86,70
CE15B013,8.39,60
CE15B014,0,0
CE15B015,9.02,60
CE15B016,0,0
CE15B017,7.63,60
CE15B018,8.42,60
CE15B019,8.1,60
CE15B020,0,0
CE15B021,9.61,70
CE15B022,8.83,60
CE15B023,7.24,60
CE15B024,5.06,0
CE15B025,0,0
CE15B026,8.24,60
CE15B027,8.19,60
CE15B028,6.57,60
CE15B029,8.75,60
CE15B030,5.45,60
CE15B031,6.33,60
CE15B032,8.19,60
CE15B033,8.67,60
CE15B034,6.61,0
CE15B035,8.94,60
CE15B036,3.78,60
CE15B037,7.24,60
CE15B038,2.91,0
CE15B039,1.29,0
CE15B040,3.89,60
CE15B041,8.24,0
CE15B042,7.79,60
CE15B043,7.29,60
CE15B044,8.3,60
CE15B045,0.98,0
CE15B046,5.67,0
CE15B047,5.8,60
CE15B048,7.12,60
CE15B049,7.84,60
CE15B050,6.16,60
CE15B051,9.22,0
CE15B052,8.31,60
CE15B053,9.34,60
CE15B054,5.48,60
CE15B055,7.22,60
CE15B056,6.69,60
CE15B057,7.14,60
CE15B058,2,0
CE15B059,8.47,60
CE15B060,8.13,60
CE15B061,0,0
CE15B062,8.54,60
CE15B063,8.03,60
CE15B064,7.38,60
CE15B065,6.75,60
CE15B066,6.46,60
CE15B067,7.74,60
CE15B068,7.4,60
CE15B069,7.67,60
CE15B070,7.96,60
CE15B071,5.35,60
CE15B072,8.69,60
CE15B073,6.57,60
CE15B074,6.83,60
CE15B075,7.4,60
CE15B076,6.22,60
CE15B077,6.26,0
CE15B078,6.07,60
CE15B079,8.2,60
CE15B080,2.24,60
CE15B082,7.32,60
CE15B083,9.78,0
CE15B084,9.08,60
CE15B085,8.72,60
CE15B086,7.51,60
CE15B087,7.54,0
CE15B088,6.44,0
CE15B089,8.11,60
CE15B090,9.65,0
CE15B091,8.37,60
CE15B092,6.71,60
CE15B093,6.54,60
CE15B094,7.15,60
CE15B095,6.72,60
CE15B096,7.83,60
CE15B097,9.35,0
CE15B099,5.18,0
CE15B100,8.58,60
CE15B101,8.2,60
CE15B102,7.3,0
CE15B103,7.73,60
CE15B104,6.35,60
CE15B105,5.85,60
CE16B001,6.4,60
CE16B002,2.81,60
CE16B003,5.02,60
CE16B005,4.57,60
CE16B006,7.12,60
CE16B007,5.23,60
CE16B008,4.04,60
CE16B009,3.34,60
CE16B010,7.6,60
CE16B011,8.59,60
CE16B012,8.11,60
CE16B013,7.2,60
CE16B014,6.46,60
CE16B015,7.39,0
CE16B016,8.78,60
CE16B017,7.8,0
CE16B018,6.8,0
CE16B019,7.93,60
CE16B020,7.63,60
CE16B021,5.82,60
CE16B022,6.73,60
CE16B023,6.04,60
CE16B024,6.69,0
CE16B025,8.41,60
CE16B026,5.9,60
CE16B027,5.83,60
CE16B028,7.6,60
CE16B030,8.9,60
CE16B031,4.65,0
CE16B032,7.29,0
CE16B033,8.61,60
CE16B034,8.91,60
CE16B035,5.49,60
CE16B036,6.69,60
CE16B037,6.92,60
CE16B038,4.89,60
CE16B039,7.85,60
CE16B040,6.56,60
CE16B041,7.58,60
CE16B042,5.02,60
CE16B043,7.06,60
CE16B044,6.65,60
CE16B045,6.32,60
CE16B046,7.78,60
CE16B047,5.82,0
CE16B048,4.92,60
CE16B049,6.68,60
CE16B050,7.28,60
CE16B051,8.46,60
CE16B052,7.99,60
CE16B053,8.1,60
CE16B054,8.32,60
CE16B055,6.61,60
CE16B056,4.29,60
CE16B057,4.5,60
CE16B058,5.82,60
CE16B059,8.83,0
CE16B060,8.02,60
CE16B061,6.06,0
CE16B062,7.78,60
CE16B063,4.44,60
CE16B064,7.36,60
CE16B065,8.79,60
CE16B101,9.04,60
CE16B102,5.29,60
CE16B103,6.7,60
CE16B104,6.19,60
CE16B105,7.94,60
CE16B106,4.95,60
CE16B107,7.24,60
CE16B108,7.75,60
CE16B109,6.65,60
CE16B110,7.05,60
CE16B111,5.1,60
CE16B112,3.47,60
CE16B113,7.43,60
CE16B114,7.28,60
CE16B115,6.84,60
CE16B116,8.39,60
CE16B117,9.16,60
