RollNo,CourseNo,ColorGroup,Type,SortOrder
AE15B001,AS2040,NULL,CORE,NULL
AE15B001,AS2520,NULL,CORE,NULL
AE15B001,AS3020,NULL,CORE,NULL
AE15B001,AS3510,NULL,CORE,NULL
AE15B001,AS3270,NULL,CORE,NULL
AE15B001,MA2130,0,ELEC,2
AE15B001,CS3700,0,ELEC,1
AE15B002,MA2010,NULL,BACKLOG,NULL
AE15B002,AS3270,NULL,CORE,NULL
AE15B002,AS2040,NULL,CORE,NULL
AE15B002,AS2520,NULL,CORE,NULL
AE15B002,AS3020,NULL,CORE,NULL
AE15B002,AS3510,NULL,CORE,NULL
AE15B002,EE3301,0,ELEC,4
AE15B002,EE3002,0,ELEC,2
AE15B002,CS3500,0,ELEC,1
AE15B002,PH5110,0,ELEC,3
AE15B003,AS2040,NULL,CORE,NULL
AE15B003,AS2520,NULL,CORE,NULL
AE15B003,AS3020,NULL,CORE,NULL
AE15B003,AS3510,NULL,CORE,NULL
AE15B003,AS3270,NULL,CORE,NULL
AE15B003,HS1090+,0,ELEC,3
AE15B003,MS3610,0,ELEC,2
AE15B003,MA2040,0,ELEC,1
AE15B005,AS2040,NULL,CORE,NULL
AE15B005,AS2520,NULL,CORE,NULL
AE15B005,AS3020,NULL,CORE,NULL
AE15B005,AS3510,NULL,CORE,NULL
AE15B005,AS3270,NULL,CORE,NULL
AE15B005,MA2031,0,ELEC,1
AE15B006,AS2040,NULL,CORE,NULL
AE15B006,AS2520,NULL,CORE,NULL
AE15B006,AS3020,NULL,CORE,NULL
AE15B006,AS3510,NULL,CORE,NULL
AE15B006,AS3270,NULL,CORE,NULL
AE15B006,AS5420,1,ELEC,1
AE15B006,MA2031,2,ELEC,2
AE15B007,MA1101b,NULL,BACKLOG,NULL
AE15B007,AS3270,NULL,CORE,NULL
AE15B007,AS2040,NULL,CORE,NULL
AE15B007,AS2520,NULL,CORE,NULL
AE15B007,AS3020,NULL,CORE,NULL
AE15B007,AS3510,NULL,CORE,NULL
AE15B007,HS1090+,0,ELEC,1
AE15B007,HS2030,0,ELEC,3
AE15B007,MS5100,0,ELEC,2
AE15B008,AS2040,NULL,CORE,NULL
AE15B008,AS2520,NULL,CORE,NULL
AE15B008,AS3020,NULL,CORE,NULL
AE15B008,AS3510,NULL,CORE,NULL
AE15B008,AS3270,NULL,CORE,NULL
AE15B008,MA2031,2,ELEC,1
AE15B009,AS3270,NULL,CORE,NULL
AE15B009,AS2040,NULL,CORE,NULL
AE15B009,AS2520,NULL,CORE,NULL
AE15B009,AS3020,NULL,CORE,NULL
AE15B009,AS3510,NULL,CORE,NULL
AE15B009,MA2031,3,ELEC,2
AE15B009,AS5420,1,ELEC,1
AE15B010,AS2040,NULL,CORE,NULL
AE15B010,AS2520,NULL,CORE,NULL
AE15B010,AS3020,NULL,CORE,NULL
AE15B010,AS3510,NULL,CORE,NULL
AE15B010,AS3270,NULL,CORE,NULL
AE15B010,MA2031,0,ELEC,2
AE15B010,AS5420,0,ELEC,1
