Student Roll Number, Electives Allotted 
AE15B001,MS3510#
AE15B008,AS5420
AE15B017,PH3500
AE15B020
AE15B021,MA2040
AE15B025,MS3610
AE15B032,MA2040
AE15B033,AS5420
AE15B034,MA2031
AE15B037,AS5420
AE15B039,AS5420
AE15B042,HS4210
AE15B044,PH3500
AE16B017,HS3060
AE16B025,HS4571
AE16B034,HS3060
AE16B112,HS4571
AE16B114,PH3500
BE15B004,BT3032
BE15B005,BT3072,BT3051
BE15B008,GN5001
BE15B012,GN5001
BE15B013,BT3071
BE15B015,BT3032,BT3230
BE15B017,BT3072,BT3051,BT3032
BE15B021,BT3032
BE16B001
BE16B003,HS4350
BE16B007,HS3060
BE16B008,HS3060
BE16B014,HS4350
BE16B015,MA2020
BE16B016,HS3060
BE16B017,HS4571
BE16B020,BT1022
BE16B022,BT1022
BE16B029,HS3060
BE16B034,MA2020
BE16B035,HS3060
BS15B001,BT3230,CS2710
BS15B003,BT3032,BT3230
BS15B004,BT3051,BT3032
BS15B005,BT3051,BT3230
BS15B007,BT3032,BT3230
BS15B008,CS2710
BS15B010,BT3051,BT3032
BS15B011,BT3032
BS15B012,BT3051
BS15B017,GN5001
BS15B021,BT3032
BS15B023,BT3032,BT3230
BS16B004,HS4002
BS16B010,HS4350
BS16B019,HS4002
CE15B013,CH5350
CE15B024,CE3310
CE15B030
CE15B032
CE15B034,CE6010
CE15B041,CE3310
CE15B051,CE3310
CE15B064,HS4350
CE15B094,CE3310
CE15B096,CE3310
CE15B099,CE3310
CE15B102,CE3310
CE16B015,MA2020
CE16B017,MA2020
CE16B018,MA2010
CE16B024,MA2040
CE16B031,MA2020
CE16B032,MA2040
CE16B047,MA2020
CE16B059,MA2040
CE16B061,MA2040
CH15B003,CH5014,CH3170
CH15B004,CH5370
CH15B006,CH5017,CH5370
CH15B009,CH5014,CH3170
CH15B011,CH5370
CH15B012,CH5370
CH15B014,CH5011
CH15B016,CH5370
CH15B021,CH3150
CH15B026,CH5370
CH15B028,CH5370
CH15B029,CS2700
CH15B030,CH5017,CH5370
CH15B031,CH5370
CH15B033,CS2700
CH15B037,CH3170
CH15B039,CH5011
CH15B040,CH5014
CH15B042,BT3051
CH15B044,AS6020
CH15B050,CS2700
CH15B051,CH5370
CH15B053,BT3051
CH15B054,CH5370
CH15B056,CH5017
CH15B057,CH5370,HS3060
CH15B058,CH5370,CH3170
CH15B059,BT3051
CH15B062,CH3170
CH15B063
CH15B064,CH5011
CH15B065
CH15B066,CH5370,CH3170
CH15B067,CH5370,CH5014
CH15B069,CH5017
CH15B073,CH5017
CH15B074,BT3072,MS3610
CH15B075,CH5370
CH15B078,CH3170
CH15B082,CH5370,CH5011
CH15B083,CH3170
CH15B084,CH5370
CH15B087,BT2030
CH15B093,CH5190,CH5014
CH15B097
CH16B001,HS4571
CH16B006,MA2020,HS4005
CH16B010,MA2020
CH16B011
CH16B013,MA2020
CH16B021,MA2040
CH16B023,MA2040
CH16B029,HS4571
CH16B030,HS4350
CH16B033,MA2020,HS4571
CH16B036
CH16B037,MA2130,HS4002
CH16B038,HS4350
CH16B042,HS4571
CH16B044,HS4350
CH16B045,MA2040
CH16B047,HS3060
CH16B048,HS4210,MA2040
CH16B052,MA2020
CH16B053,HS4571
CH16B058,HS4350
CH16B059,HS2030
CH16B060,HS4571
CH16B062,MA2040
CH16B064,HS4350
CH16B068,MA2020,HS4005
CH16B069,HS4571
CH16B101,HS4005
CH16B103,HS4350
CH16B110,HS4350
CH16B113,HS4210
CH16B114,HS4571
CH16B115,HS4350
CH16B117,HS4350
CS15B008,CS4011,CS3700
CS15B016,CS3700
CS15B023,CS6111
CS15B028,CS4011,CS3700
CS15B030,CS4011,CS3700
CS15B044,CS3700
CS15B051,CS3700
CS15B061,CS4011
CS16B001,PH3500
CS16B006,HS4350,BT2012
CS16B008,HS4210
CS16B009,BT2010
CS16B010,HS4210
CS16B013,EE2015
CS16B017,PH3500
CS16B026,HS4210
CS16B035,BT2010
CS16B039,HS4210
CS16B047,HS4210
CS16B109,MS3510#
CS16B111,MS3510#,HS4002
ED15B004,ED3153
ED15B008,ED3153
ED15B009,ED3153
ED15B021,ED3153
ED15B025,ED2012
ED15B026,ED5016
ED15B027,ME4290
ED15B028,ED3153
ED15B029,ED3153
ED15B032,ED5016
ED15B033,ED3153
ED15B035,ME4290
ED15B043,ED3153
ED15B047,ED5016
ED15B050,ED3153
ED16B008,ED2130
ED16B043,ED2130
ED16B048,ED2130
ED16B051,ED2130
ED16B059,ED2130
EE15B001
EE15B002,MA2040
EE15B003,EE3005
EE15B005,EE3005
EE15B006,EE3002
EE15B008,EE3005
EE15B009,EE3005
EE15B010,EE3005
EE15B011,EE2003
EE15B012,EE3313
EE15B014,MA2040
EE15B015,MA2040
EE15B016,MA2040
EE15B017,EE3005,EE2003,MA2040
EE15B018,MA2040
EE15B020,MA2040
EE15B021,MA2040
EE15B022,EE3005
EE15B024,EE2003
EE15B027,EE2003
EE15B028,EE3005
EE15B029,EE2003
EE15B030,MA2040
EE15B031,MA2040
EE15B032
EE15B033,MA2040
EE15B034
EE15B035,MA2040
EE15B036,EE3005
EE15B037,EE3005,MA2040
EE15B038,EE3005,MA2040
EE15B039,EE3313
EE15B041,MA2040
EE15B042,MA2040
EE15B043,MA2040
EE15B044,EE3002
EE15B045,EE3005
EE15B046,EE2003
EE15B047,EE3005
EE15B048,MA2040
EE15B049,EE3002,MA2040
EE15B050,MA2040
EE15B051,EE3005
EE15B053,EE3002
EE15B054,MA2040
EE15B055,EE2003,MA2040
EE15B057,EE3313
EE15B058,BT6270
EE15B060,MA2040
EE15B062,EE3005
EE15B063,EE3005
EE15B064,MA2040
EE15B065,EE2003
EE15B066,EE2003
EE15B067,EE3005
EE15B068,MA2040,EE3005
EE15B070,EE3313
EE15B072,MA2040
EE15B073,EE3002,EE3005,EE3313
EE15B074,EE2003
EE15B075,MA2040
EE15B076,MA2040
EE15B078,MA2040
EE15B079,MA2040
EE15B080,EE3005
EE15B081,EE3005
EE15B083,EE3005
EE15B085,EE3005
EE15B086,MA2040
EE15B087,EE3005
EE15B089,GN5001
EE15B090
EE15B092,EE2003
EE15B093,EE3005
EE15B094,EE3002
EE15B096,MA2040
EE15B097,MA2040
EE15B098,EE3005
EE15B100
EE15B101,EE3313
EE15B102
EE15B103,EE3005,EE2003
EE15B104,EE3005,MS3510#
EE15B107,EE2003
EE15B108,EE2003
EE15B110,EE2003
EE15B113,EE2003
EE15B114
EE15B115
EE15B116,MS3510#,EE3005
EE15B117,MA2040,CS4011
EE15B118,MA2040
EE15B119,BT3051
EE15B122,EE2003,MA2040
EE15B126,MA2040
EE15B127,EE3005
EE15B128,MA2040
EE15B130,EE2003
EE15B132,EE3005
EE15B133,MA2040
EE15B134,MA2040
EE16B002,HS4002
EE16B010,MA2010
EE16B014,MA2130
EE16B020,HS4210
EE16B032,BT6270
EE16B034,HS4350
EE16B036,HS4350
EE16B040,HS4350
EE16B042,HS4350
EE16B063,HS4571
EE16B070,EE1103
EE16B073,HS4002
EE16B101,HS4350
EE16B102,HS4350
