Student Roll No,EffectiveAverageRank,creditSatisfactionRatio
AE15B001,1.0,0.9
AE15B008,1.0,0.9
AE15B017,1.0,0.9
AE15B020,0.0,0.0
AE15B021,1.0,0.47
AE15B025,2.0,0.9
AE15B032,1.0,0.47
AE15B033,1.0,0.9
AE15B034,1.0,0.31
AE15B037,1.0,0.9
AE15B039,1.0,0.9
AE15B042,1.0,0.9
AE15B044,1.0,0.9
AE16B017,2.0,0.47
AE16B025,1.0,0.47
AE16B034,2.0,0.47
AE16B112,1.0,0.32
AE16B114,1.0,0.9
BE15B004,1.0,0.5
BE15B005,0.75,0.77
BE15B008,1.0,0.64
BE15B012,1.0,0.64
BE15B013,1.0,0.67
BE15B015,0.75,0.75
BE15B017,0.67,0.83
BE15B021,1.0,0.6
BE16B001,0.0,0.0
BE16B003,1.0,0.6
BE16B007,1.0,0.6
BE16B008,1.0,0.6
BE16B014,2.0,0.6
BE16B015,1.0,0.6
BE16B016,3.0,0.6
BE16B017,3.0,0.6
BE16B020,1.0,0.8
BE16B022,1.0,0.8
BE16B029,3.0,0.6
BE16B034,1.0,0.6
BE16B035,3.0,0.6
BS15B001,1.25,0.68
BS15B003,0.75,0.58
BS15B004,0.75,0.65
BS15B005,0.75,0.91
BS15B007,0.75,0.58
BS15B008,2.0,0.3
BS15B010,0.75,0.91
BS15B011,1.0,0.41
BS15B012,1.0,0.85
BS15B017,1.0,0.82
BS15B021,1.0,0.69
BS15B023,0.75,0.58
BS16B004,3.0,1.0
BS16B010,2.0,1.0
BS16B019,1.0,1.0
CE15B013,1.0,0.45
CE15B024,1.0,0.45
CE15B030,0.0,0.0
CE15B032,0.0,0.0
CE15B034,1.0,0.45
CE15B041,1.0,0.45
CE15B051,1.0,0.45
CE15B064,1.0,0.82
CE15B094,1.0,0.64
CE15B096,1.0,0.82
CE15B099,1.0,0.56
CE15B102,1.0,0.45
CE16B015,1.0,0.31
CE16B017,1.0,0.31
CE16B018,3.0,0.31
CE16B024,1.0,0.31
CE16B031,1.0,0.31
