Student Roll No,Course Number,Reason for Not allotting Preference
AE15B001,CS4011$outside,(invalid preference) For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2130(9 credits)+ and CS4011 takes 12 credits which is greater than the 10 remaining elective credits.
AE15B001,CS6100$outside,(invalid preference) For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2130(9 credits)+ and CS6100 takes 12 credits which is greater than the 10 remaining elective credits.
AE15B001,CS6570$outside,(invalid preference) For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2130(9 credits)+ and CS6570 takes 12 credits which is greater than the 10 remaining elective credits.
AE15B001,MS3510+$outside,Slot Clash with already allotted elective course MS3510#
AE15B008,AS5420$outside,Slot Clash with already allotted elective course AS5420
AE15B020,HS2030$outside,Course capacity is full.
AE15B020,AS5420$inside,Course capacity is full.
AE15B020,AS5420$outside,Course capacity is full.
AE15B025,HS2030$outside,Course capacity is full.
AE15B025,HS4571$outside,For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2010(9 credits)+ and the following electives which have a higher preference got allotted : MS3610(9 credits)+ and HS4571 takes 9 credits which is greater than the remaining 1 elective credits.
AE15B025,HS4002$outside,For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2010(9 credits)+ and the following electives which have a higher preference got allotted : MS3610(9 credits)+ and HS4002 takes 9 credits which is greater than the remaining 1 elective credits.
AE15B025,HS5920$outside,For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2010(9 credits)+ and the following electives which have a higher preference got allotted : MS3610(9 credits)+ and HS5920 takes 9 credits which is greater than the remaining 1 elective credits.
AE15B033,AS5420$inside,Course capacity is full.
AE15B037,AS5420$outside,Slot Clash with already allotted elective course AS5420
AE15B039,AS5420$inside,Course capacity is full.
AE15B042,HS4005$outside,Slot Clash with already allotted elective course HS4210
AE15B042,HS2030$outside,Slot Clash with already allotted elective course HS4210
AE15B044,HS2030$outside,For this student max credits in semester is 60 and Core courses registered are AS2040(12 credits)+AS2520(3 credits)+AS3020(11 credits)+AS3270(10 credits)+AS3510(5 credits)+MA2010(9 credits)+ and the following electives which have a higher preference got allotted : PH3500(9 credits)+ and HS2030 takes 9 credits which is greater than the remaining 1 elective credits.
AE16B017,HS2030$outside,Course capacity is full.
AE16B017,HS4210$outside,Slot Clash with already allotted elective course HS3060
AE16B017,HS4350$outside,Slot Clash with already allotted elective course HS3060
AE16B017,HS5920$outside,Slot Clash with already allotted elective course HS3060
AE16B017,HS4005$outside,Slot Clash with already allotted elective course HS3060
AE16B025,HS4350$outside,Slot Clash with already allotted elective course HS4571
AE16B025,HS4210$outside,Slot Clash with already allotted elective course HS4571
AE16B025,HS4005$outside,Slot Clash with already allotted elective course HS4571
AE16B025,HS4002$outside,Slot Clash with already allotted elective course HS4571
AE16B034,HS2030$outside,Course capacity is full.
AE16B034,HS4210$outside,Slot Clash with already allotted elective course HS3060
AE16B112,HS2030$outside,Slot Clash with already allotted elective course HS4571
AE16B112,HS4350$outside,Slot Clash with already allotted elective course HS4571
BE15B004,BT3032$outside,Slot Clash with already allotted elective course BT3032
BE15B005,BT3072$outside,Slot Clash with already allotted elective course BT3072
BE15B005,BT3051$outside,Slot Clash with already allotted elective course BT3051
BE15B008,BT3032$inside,Slot Clash with already allotted elective course GN5001
BE15B008,BT3032$outside,Slot Clash with already allotted elective course GN5001
BE15B012,BT3032$inside,Slot Clash with already allotted elective course GN5001
BE15B012,BT3032$outside,Slot Clash with already allotted elective course GN5001
BE15B013,BT3071$outside,Slot Clash with already allotted elective course BT3071
BE15B015,BT3032$outside,Slot Clash with already allotted elective course BT3032
BE15B015,BT3230$outside,Slot Clash with already allotted elective course BT3230
BE15B017,BT3072$outside,Slot Clash with already allotted elective course BT3072
BE15B017,BT3051$outside,Slot Clash with already allotted elective course BT3051
BE15B017,BT3032$outside,Slot Clash with already allotted elective course BT3032
