Student Roll Number, Preference with zero capacity
BE15B013,BT3071$outside
BE16B020,BT1022$outside
BE16B022,BT1022$outside
BS15B010,BT5370$inside
CE15B051,CE6840$outside
CE15B099,CS3700$outside
CH15B003,CH3150$inside
CH15B003,CH5011$inside
CH15B009,CH5350$inside
CH15B009,CH5011$inside
CH15B009,CH3150$inside
CH15B012,CH3150$inside
CH15B012,CH5011$inside
CH15B014,CH5011$inside
CH15B014,CH3150$inside
CH15B021,CH3150$inside
CH15B021,CH5011$inside
CH15B021,CH5350$inside
CH15B026,CH3150$inside
CH15B026,CH5011$inside
CH15B029,CH5120$outside
CH15B030,CH3150$inside
CH15B031,CH3150$inside
CH15B031,CH5350$inside
CH15B031,CH5120$outside
CH15B033,CH5120$outside
CH15B039,CH5011$inside
CH15B040,CH3150$inside
CH15B042,CH5350$inside
CH15B042,CH3150$inside
CH15B042,CH5011$inside
CH15B054,CH3150$inside
CH15B054,CH5350$inside
CH15B058,CH5011$inside
CH15B063,CH3150$inside
CH15B063,CH5011$inside
CH15B064,CH5011$inside
CH15B064,CH3150$inside
CH15B065,CH3150$inside
CH15B082,CH5011$inside
CH15B082,CH3150$inside
CH15B093,CH3150$inside
CH15B097,CH5350$inside
CS15B008,CS3700$outside
CS15B008,CS6440$outside
CS15B016,CS3700$outside
CS15B028,CS3700$outside
CS15B028,CS6440$outside
CS15B030,CS3700$outside
CS15B030,CS6440$outside
CS15B044,CS3700$outside
CS15B051,CS3700$outside
CS15B061,CS3700$outside
CS16B009,BT1022$outside
CS16B111,BT1022$outside
EP15B009,ID6030$inside
ME15B031,CH5120$outside
ME15B031,ED5053$outside
ME15B160,ME3310$outside
MM15B001,MM3012$inside
MM15B002,MM5040$inside
MM15B014,MM3012$inside
MM15B026,MM3012$inside
MM15B039,MM3012$inside
MM15B040,MM3012$inside
MM15B048,MM3012$inside
NA15B001,OE3190$outside
NA15B002,OE3190$outside
NA15B003,OE3190$outside
NA15B005,OE3190$outside
NA15B007,OE3190$outside
NA15B010,OE3190$outside
NA15B011,OE3190$outside
NA15B012,OE3190$outside
NA15B013,OE3190$outside
NA15B014,OE3190$outside
NA15B017,OE3190$outside
NA15B018,OE3190$outside
NA15B019,OE3190$outside
NA15B021,OE3190$outside
NA15B023,OE3190$outside
NA15B028,OE3190$outside
NA15B029,OE3190$outside
NA15B033,OE3190$outside
NA15B036,OE3190$outside
NA15B039,OE3190$outside
NA15B041,OE3190$outside
NA15B042,OE3190$outside
NA15B044,OE3190$outside
NA15B046,OE3190$outside
